B|Hello.|fp
A|Uh, and she still drives, which we do, does scare us some, because she has dented a few things, you know, and we keep thinking about that, you know|sd sd
B|Right.|b
A|because she, they get less alert, and they don't care, and I've seen some of these elderly people on T V you know, the ones from Florida that just run into people and they don't even understand what happened, you know.|sv sv sd sd
B|Right. I know, bless their hearts, you hate to hurt them by doing that, that's like their one last thing that they can still do,|b aa ba sv sv
A|I know.|aa
B|and you take away that driving ability and that would really be hard. We've, Well, we've thought about doing that for my husband's father, because he,|sv sv sd
A|I, I know. Go ahead, I'm sorry. Oh, he still drives?|aa ad fa qy
B|Yeah.|ny
A|That's well, it's wonderful in one respect, but I don't know if you can afford the insurance, yeah.|ba qy^d %
B|Well, luckily he drives a big old tank|arp_nd
A|Yeah.|b
B|So, he, I mean, I don't think he, he could get hurt. I just hope to God he doesn't ever hurt anyone. But he he hasn't had any accidents luckily.|sv sd sd
A|Right. That's good. I mean, people are all different.|b ba sv
B|Yeah, yeah.|aa aa
A|I, I wonder if they should give them a test, or at least maybe not take their maybe give them a refresher driving course, and just to see how well they are every five years.|sv
B|I saw that on TWENTY TWENTY.|sd
A|Are they doing it?|qy
B|They, um, you know, they're testing that, they're, you know, thinking of doing that. And I think that would be a great idea, because I think they do, come, become less aware, and they just, I don't know, they, and they don't hear as well, for one thing|no sv sv
A|Yeah.|b
B|and that doesn't help.|sv
A|Well, everybody needs retraining. It doesn't hurt, uh, you know, the best football players and all the opera singers still have coaches, and I don't know why you couldn't after sixty-five every five years have a refresher course and then take another driving.|sv sv sv sv
B|Right.|b
A|It would sure, the insurance companies would, would probably help pay for some of that, you know.|sv
B|At least that way the burden is not on the family of taking their license or their car away|sv
A|Right, there you go, there's a good point|aa ba ba
B|It's on the state|sv
A|very good point. Very good point. But I think they maybe, should do that, and then the families,|ba ba sv %
