B|Okay, so I think, I think what we should talk about is, uh, the war.|fo_o_fw_"_by_bc sv
A|Uh-huh.|b
B|And they're not going to do that directly. But the thing is, is that, they, they didn't go into, into Iraq and say, you know, because they have the force to go in there and say get out of the country.|sd sd
A|Uh-huh.|b
B|You know, you can seek, seek asylum here,|^q
A|Yeah.|b
B|and you can go there, but no way are you going to rule ever again.|^q ^q
A|Uh-huh. I've been hearing some talk too of trying to bring Hussein up on, you know, criminal charges. I don't know if that will ever happen or not.|b sd h
B|Well the thing is, is that first of all they got to, they they have to get him.|sv
A|Uh-huh, which is very difficult to do.|b sv
B|And, and there's no way that you can get them, unless it's by force.|sv
A|Uh-huh.|b
B|You know. And then you can put him on trial.|sd
A|Obviously, he's not going to turn himself in.|sv
B|No, no, I think, I think he'd rather commit suicide than turn himself in, because there's, I mean there's like, it's like there's no hope, you know, like what Hitler did, you know.|aa aa sv
A|Uh-huh.|b
B|You know, like if you were going to put on trial you get to live the rest of your life, but where.|sd
A|True, yeah, uh-huh.|aa % %
B|You know, and so, um, the thing is, is that once you've done something wrong, which is  you know, internationally recognized, then you're going to try to get out of it and the, there's no way, you know. And especially since he's got inside Iraq for using, you know, chemical weapons and stuff.|sv sv
A|Yeah, true. Uh-huh.|aa aa b
B|And you know like he sent planes over to, to shoot the people down that were on the border with, uh, that were on their way to Turkey.|sd
A|Uh-huh.|b
B|He had a couple of them bombarded.|sd
A|Yeah, yeah, obviously human life means nothing to him.|b b sv
B|Huh-uh. But, uh, you know, he's got, uh, millions of dollars, like,  I think it was like, I don't know if it was fifty billion or fifty million, which is really, doesn't make any difference|b sd sv
A|Oh yeah. That's true. Past a point it doesn't make any difference.|b aa bf
B|Yeah.|aa
A|Yeah, that's really, really unfortunate. It really is.|b sv sv
B|But it's just, it's just that, uh, you know, you know, like the, we just put our goals in different, you know, levels is like saying, you know, it's like yeah, sure, we need oil, you know,|% sv % sv sv sd
A|Uh-huh.|b
B|and we need it desperately.|sd
A|Yeah.|b
B|But the other countries, that, you know, that have oil but not as big, you know, like they say, you know, like when the prices went up and then they went down.|sd
A|Uh-huh.|b
B|When they took that big dip it was because they discovered another big oil well somewhere in Saudi Arabia,  or something.|sd
A|Uh-huh. Seems like the prices never go down to where they were originally, though, before, before the increase started.|b sv
B|Well, it, its an advantage.|sv
A|Uh-huh.|b
B|You know, it's like you're saying, okay, I can bring my prices up to a dollar fifty a gallon and I'm not going to bring them back down to, you know, ninety-nine cents.|sv
A|Uh-huh.|b
B|Why, because people are willing to pay a dollar fifty a gallon, so if I leave it at a dollar ten, people are still going to pay.|qh sv sv
A|True.|aa
B|You know, I went down forty cents,|sd
A|Uh-huh.|b
B|but I went up ten cents.|sv
A|Yeah.|b
B|Yeah.|b^m
A|About the lowest I've seen gasoline in the Dallas area is, uh, I guess, about ninety-two point nine now.|sd
B|Ninety-eight?|br
A|Ninety-two.|sd
B|Oh, God. Here it's like, it's like a dollar five.|ba sd
A|Oh really.|b
B|Yeah.|b
A|Well there's still a lot of dollar five places here but you can find some that's under a dollar, but not, not a whole lot. That's the lowest I've seen.|sd sd sd
B|But still the, I mean, have you ever checked, like, uh, the most money-makers in, uh, in nineteen, uh, ninety. Uh, you can see that, uh,  Exxon and Amaco and uh, other companies, oh God, I forgot their names, but, uh, Exxon was the number one money-maker,|% qy sd
A|Uh-huh. Uh-huh.|ny b
B|and that was just because of, of the last quarter.|sd
A|Right, I think Mobil was doing very well, too.|b sd
B|Yeah.|b
A|Well I, I assume all the major, major brands are.|sd
B|And, uh, that was, I mean and what other companies are, went up four hundred and some percent.|% sd
A|Uh-huh.|b
B|And that's practically impossible to do now a days, for a company to,  to shoot up in that way.|sv
A|That's true. Yeah, yeah, that's true.|aa aa aa sv
B|And, uh, it's just that, you know, people, people take advantage of that. You know, like the, the companies are saying we're trying not to raise our prices but when, you know, when we get a barrel coming in at more than what we're selling it for, we've got to raise our prices.|sv sd
A|Uh-huh.|b
B|You know, but still if you realize that, uh, one barrel has like, how much was it, like, um forty gallons,|sd
A|Yeah, something like, yeah.|aa h %
B|it's got forty gallons and they're selling, you know, you know, you got to pay forty dollars at least and,  you know, for, uh, for one gallon|sd sd sd
A|Yeah.|b
B|and it's, it was selling like at twenty-five or something.|sd
A|Uh-huh.|b
B|So you're making, uh, you know, fifteen dollars profit, easily.|sd
A|Yeah, yeah, sure.|b b b
B|And, uh, everything, I mean, and, and, the expenses, you know, of the war, you know, it's like, uh, it's like who's gaining on this.|% sv
A|Uh-huh.|b
B|Okay, because, uh, does, does the U S government own any gas companies, like, like, you know gas stations and stuff?|b qh
A|Uh-huh.|b
B|I, because, see like for example, I don't know if the British government owns Shell. I'm not sure about that.|sd sd
A|I'm not sure either.|sd
B|But the thing is like the U S government got nothing out of it. Because, well, you know, it's like the other independent companies, the gas stations, you know, they did.|sv
A|Uh-huh.|b
B|And, uh, then the taxes go up and then everybody else loses.|sd sd
A|Uh-huh.|b
B|But, um, you know, they're just, they're just some things that might not be worth it.|sv
A|Yeah, that's true.|aa sv
B|You know, and, and first of all how many, how many people had to, had to die before the war, you know, it's like transporting stuff and things like that,  before, you know, it's like|qh sd
A|Uh-huh, yeah.|b b
B|yeah sure, you know, like to, to a couple people that died there, their families don't feel it was necessary to do that.|% sv
A|Sure, dead's dead.|aa bf
B|Yeah, yeah, you, you could, you could never bring them back.|aa aa sd
A|That's true, so.|aa %
B|Oh well.|b
A|Well, I don't guess we resolved anything but it's interesting.|sv sv
B|Yeah, so, okay, nice talking to you.|b % fc
A|To you too, take care.|fc fc
B|Bye-bye.|fc
A|Bye-bye.|fc
