A|All right, um, I think the topic was crime in the city.|fo_o_fw_"_by_bc sd
B|But, uh, you know, with the technology we have today, you can put a collar on a guy's leg that will knock him down if they leave the property. I mean, it will just in incapacitate them.|sd sd
A|Huh-uh.|b
B|And, you can put a collar around a guy's leg that will prohibit them from committing any kind of prohibitive act.|sd
A|Huh-uh.|b
B|But, you know, putting them in prison, my God, that doesn't work.|sv
A|No, apparently not, because look how many years they've been doing that and look I mean, yeah.|aa aa sv % %
B|Well, you look at places like Turkey. Turkey has the death penalty, for just about everything.|ad sd
A|Huh-uh. Huh-uh.|b b
B|I mean, if you get convicted of, uh, you know, drug trafficking, they just kill you. You get convicted of, uh, you know, heinous crimes, they just kill you. I mean there's no two ways about it.|sd sd sd
A|Huh-uh.|b
B|And, uh, you look at their society and the repeat offenders are very few. You know, and you look at our society, almost everyone out on the street that has been in prison, has been in prison three or four times.|ad sv sv
A|Three or four times, yeah.|aa aa
B|I mean, You know, the way to stop that kind of behavior is, is two-fold.|sv
A|That is true, I know. Yeah.|aa aa aa
B|One, you need to make it illegal for both parents to work while the kids are under seven. I, I think that's very important.|sv sv
A|Oh, I'm, I agree very much so on that, I, yeah.|aa % aa
B|And then, if a parent has proved to be unfit, for any reason take the kids away from the parents.|sv
A|Huh-uh. Yeah.|b b
B|Because, you know, we are what we teach.|sv
A|Huh-uh.|b
B|Because that's what our society becomes. We have, We have just a bunch of people,|sv sd
A|comes, yeah.|aa aa
B|and I've, and I've, I've lived in that, that environment for quite a few years when I was doing construction work. You know, and these guys, they come to work every morning and they're stoned to the bone. I mean, their so high, they could fly up to the top of that building *spelling: they're and they work all day, and they go home and they smoke their dope and drink their booze and shoot their drugs and when they run out of money, they go down to the corner store and pop the guy on the head and take his money, and then they go back to work on Monday.|sd sd sd sd sd sd sd sd sd
A|Huh-uh.|b
B|And, the kids of these people .|%
A|Sure, they just think that's the normal thing to do, don't they ...|b qy
B|They're sociopathic.|no
A|Yeah.|b
B|And I worked in a first grade classroom for one full semester|sd
A|Huh-uh.|b
B|and these kids were more foulmouthed than I've ever been. I had one kid threaten my life, Threaten my life.|sd sd
A|In the first grade|ba
B|Told me that daddy's going to whoop me to death.|sd
A|Oh, know|sv
B|You know, and they flipping me the finger and all that|sd
A|Huh-uh.|b
B|and I just said to this kid, I said, you got two choices kid, you can step into mainstream society or you can die.|sd sd ^q ^q
A|Huh-uh.|b
B|Because you will eventually be killed. And, I just, I'm just totally aghast at a what's going on.|^q sd
A|Oh, I know. I know, um, I work in school. You know, that's something I do and I, it really is I'm like you astonishing what the younger ages know, and they react to what they see at home. You know.|aa aa sd sd % sv sv sv
B|Huh-uh.|b
A|If they see violence at home, that's what you're going to get from the kids at school.|sv
B|Exactly.|aa
A|You know. It really is, and that's kind of sad.|sv sv
B|Well, you can see it in the work place, you know. Used to be when you had a personality conflict you just, you worked with it and you got through it.|sv sd sd
A|Huh-uh.|b
B|Now, you know, people get fired, or what's even worse, is they promote them into a position that they can't handle and let them get fired.|sd sd
A|Yeah.|b
B|Or, one thing or the other. You look at another kind of society like the Japanese. You put that many people on that small of a space, they've learned to live together. Okay. It's in their culture.|h ad sv % sv
A|Huh-uh.|b
B|And one of the things that's in their culture that I really think the major corporations should pay attention to, is the fact that, while Japan was becoming a great power, financially, the people that worked for those companies, worked for the same company they worked for at sixty-five, as they did when they were eighteen.|sv
A|Teen.|b^m
B|And the company, took it upon itself to find a position for these people. If they weren't fit for the job they were hired for, they didn't just can them, they made a position for them some where.|sd sd sd
A|Huh-uh.|b
B|You look at Frito Lay. My wife used to work for Frito Lay as a typist. You know, transcribing stuff into the computer.|ad sd sd
A|Huh-uh.|b
B|Well, she could type about one-hundred and five words per minute, but she don't like it. She just doesn't like to do that. I mean, she will.|sd sd sd sd
A|Yeah.|b
B|But, you know, her preference is to be in an office situation where her job is have ...|sd
