B|Well|fo_o_fw_"_by_bc
A|I want to be there to make sure that, well, they need guidance and they do need parental guidance twenty-four hours a day.|sd sv sv
B|They definitely do. They definitely do. I,|aa aa %
A|Do you stay home with yours?|qy
B|Uh, well, see, I, if I had some I would. I, I have not, I had an unfortunate thing happen, and I am, you know, and it is not going to happen that way.|na % sd % sd
A|Uh-huh.|b
B|But my, my, uh, friends are having babies right and left, so I get to see the different ways that they,  uh, all raise them.|sd sd
A|They raise them.|^2
B|And, and one gal, she started a business, in her home. And she, she hired an au pair, which is a college kid to come in and take care of her two boys while she works in the other end of the house.|sd sd
A|Well, but see now,|%
B|And the guy lives in with her, you know,|sd
A|Yeah.|b
B|I mean, you know, it is a family sort of unit sort of thing and the,|sd %
A|to Okay, sweetie. Let mommy talk.|t3 t3
B|And so,|%
A|Well, I think that's neat.|sv
B|So that is a different way. And then my other girlfriend just, you know, tears her hair out and goes at it, you know, twenty-four hours a day, watching both kids all the time. And I think there is a point where you just have to get away.|sd sd sv
A|Right.|b
B|And it is good for the kid and it is good for you to develop, you know, your interest so you do not stop growing at the same time.|sv sv
A|Uh-huh. Well, I know the family is really going through changes. But now, we are trying to go back to about the sixties, when the parents, you know, when the mother was staying at home.|b sd sd
B|Yeah.|b
A|Unit . Or that, what do they call it, the nuclear family?|% % qy
B|Yeah.|ny
A|Yeah. But, uh,|b %
B|Do you have any, uh, do you have your mom or anybody around you that  helps you?|qy qy
A|Uh, well, my family is Kentucky. Now my, one of my sisters is down here.|b ^h na
B|Yeah.|b
A|Her husband happened to get a job at T I They moved out here, but his family lives here and, my husband was in the service when I met him.|sd sd % sd sd
B|Uh-huh.|b
A|And so we, we've been all over to Okay, Kyle Then I, he got a sunburn and he is itching, so I am keep having to scratch his back.|sd t3 % sd sd sd
B|Oh.|b
A|See, uh, I would love to get a business going out of my home. Outside of, I mean, going,|sd ^2
B|Right.|aa
A|yeah.|b
B|Well, that is,|%
A|I would rather work at home, if I could.|sd
B|Well, see and, and that is, uh, the sort of the thing of the nineties is women working out of their own home.|sv
A|Yeah. That is the trend. Yeah. They are bringing offices, I mean, I mean big businesses into their home. Bringing their computers home and working from there.|b sv b sv sv
B|Right. And I think, you know, the more we try to, you know, shape that, the more input we, have into what that whole system is going to look like. Because that is, that is our choice now too. That is,  that is our cause.|b sv sv
A|Well, I think,  I think one that would be, uh, it is, uh, kids could see their parents, you know, how hard they work,|sv % sv
B|Yeah.|b
A|they would understand more. When, uh, we first moved down here, I was working. I was working a twelve hour shift, and it was three and four days a week.|sv sd sd sd
B|Uh-huh.|b
A|And, uh,|%
B|Um.|b
A|oh, my little boy just, he went wild. You know, I mean because, because he had been used to me being there all the time,|sd
B|Being there all the time.|^2
A|yeah.|aa
B|Yeah.|b
A|And he is just now, well, when I got pregnant, I went ahead and quit work and decided just to stay at home and it was costing too much at home, than, more at home than I was bringing in. So,|sd sd sd %
B|Yeah. See the economic situation on the whole thing. And then, uh, well it is, see we do have things that we are concerned about here.|b sd % sv
A|Uh-huh.|b
B|This generation, I don't know. Social change is always going to go on, but I think we have taken a big leap in the last, you know, twenty, thirty years.|sv h sv sv
A|Uh-huh.|b
B|And, uh, nothing is the same.|sv
A|No, it seems like it is totally different. Of course, I do not have much to compare it to. To me,  our causes do not seem as important as you all's were.|aa sv sd sv
B|Well.|%
A|Do you know what I mean?|qy
B|Yeah. But we, we grew, we passed them on to you, you know, I mean,|ny sv %
A|You, you what?|br
B|I said, "We passed them on to you."|sd
A|Okay. We passed them on to us.|bk bf
B|I mean, you know, because it takes a lot of hard work. It takes writing letters to Congressmen and,  and, you know, just being very, very politically astute about how to shape and mold the future.|sv sd
A|Uh-huh.|b
B|And, and, uh, you know, um, did we make the right choices? We do not know, we will never know.|qh sv sv
A|No.|aa
B|I mean, you know, I, I think we made a wrong choice when I look at the children of today. Yeah, I think we made some big wrong choices.|sv % sv
A|Okay, yeah.|b b
B|And I think business got in the way. I think the greed of the eighties got,|sv sv
