A|Do you have any?|qy
A|and you could say that, uh, have your your number put in a registry. And then anyone making these calls have to check that registry for that area and could not, should, and is not allowed under penalty of, you know, being reported or something to call you.|sd sd
B|Uh-huh. Yeah.|b b
A|So that would be one way of doing it.|sd
B|I can't really think of anything that invades my privacy, but one of my pet peeves, you came up with the telephone is, when you have an answering machine and they hang up before they leave a message.|sd sd
A|Uh-huh.|b
B|I can't stand that. I think that is so stupid, you know, because,|sd sd %
A|Oh, I'm guilty of that sometimes because I've called and there really wasn't any significant message and I, and I wasn't going to be available to be called back.|sd sd sd
B|Uh-huh.|b
A|And it was sort of like, oh, the hell, I'm not going to spend the time giving, leaving a message, and, uh, I'll call later, if I'm available.|sd sd sd
B|Yeah.|b
A|The other thing that, um, that there is recourse to and that's another thing, is when you, you use your credit card and then they ask for a telephone number.|sd
B|Uh-huh.|b
A|Well, legally now they're not allowed, they're you do not have to give a telephone number.|sd % sd
B|Oh, really?|bh
A|Yes. And I don't really like announcing in public|ny sd
B|Uh-huh.|b
A|you know, when you're sitting there, my telephone and I don't like the way telephone numbers can be used.|sd sd
B|Uh-huh.|b
A|We once had a situation where someone was using a credit card number of ours and he actually had our phone number, but it turned out it had to have been my husband's office phone number. And, uh, we were able, we weren't actually able to trace it, but we were able to, to discard the charges.|sd sd sd
B|Uh-huh.|b
A|Um, but it was,|sd
B|I don't like how they the, I, I realize that this is your identification but I worked with someone that got hold of his, charge cards, and his social security number.|sd % sd sd
A|Uh-huh. Uh-huh. Yeah, same with my husband. It was the charge card and social security number.|b b b sd sd
B|And, you know, I don't, I don't like, I don't ever get anything over the phone because I don't want to give my social security number out.|sd
A|Well, you should never give the social security number. Uh, if sometimes, if you charge, sometimes I charge theater tickets over the phone.|sd sd sd
B|Uh-huh.|b
A|And then, you know, because they pick them up at the box office we'll call. But, um, that's the only thing I would ever have ever used it for the phone and that was because I initiated it.|sd sd sd
B|Yes.|b
A|Uh, and occasionally I do order things from catalogs over the phone.|sd
B|Uh-huh.|b
A|But again it's, I initiate it not the company. The other thing is though you do not have to, if you're buying something in a store and they and you pay for it by charge and they ask you for your telephone number, you do not have to give it. That is one, that's a law that went into effect, I don't know a year or two ago.|sd sd sd sd
B|Oh, I never even knew that.|sd
A|And, uh, you can just say I'm sorry that uh, I'm not required to give that by law and then they won't, a lot of stores will still ask.|sd % sd
B|Uh-huh.|b
A|But, uh, the credit card company, you know, accepts the charges. I mean a the credit cards company's responsibility.|sd % % sd
B|Uh-huh. Well, is there any, like pet peeves that you have that don't necessarily invade your privacy?|b qy
A|So in this , Um, well, this would, this is limited to the privacy issue, the invasion of privacy.|% sd
B|Oh, okay.|bk
A|Yeah, and I guess, uh, that was my, that's probably my biggest one in terms of invasion of privacy. For people outside the family, of course, I've got little pet peeves, you know, with my family. You know. But of course, I guess that just comes with the, uh, with the territory with a family that does a mother can do some privacy.|b sd sd % sv %
B|I really, can't think of any that would invade my privacy you know.|sd
A|But, uh, Uh-huh. Nothing that you felt that, you know, any experiences you've had at work?|% b qy^d qy^d
B|No. I, you know, I, I really can't say anything that would really bother me.|nn % sd
A|So many things I think over the years have been, um, accepted, I mean when you, uh, that are no longer done.|sd
B|Uh-huh.|b
A|I mean I can remember when I was very young, much younger and I applied for a job they said, well, aren't you planning to have children. Well, I mean, that's none of their business.|sd sd sv
B|Yeah.|b
A|And but of course, now by law they can't ask that.|sd
B|Yeah.|b
A|So I mean there has been I think a lot to, done to protect privacy.|sv
B|Yeah, especially between women and,|aa sd
A|How do you feel, Uh-huh. Yeah.|qo b b
B|they've gotten a lot with, uh, applications and stuff and aren't allowed to ask.|% sd
A|That's right.|ba
B|No, because, I think it's for the better of like you mean like for working and stuff?|nn % sd qy
A|Yeah, uh-huh.|ny ny
B|No, I don't because I think whenever, and something like that they're looking out for everyone. They're not,|nn sd sv %
A|Yeah.|b
B|you know, I think it's more safety than anything else.|sv
A|I feel that way too. I sometimes feel you know, sometimes individual rights including the right to privacy have to be sacrificed for a greater benefit.|aa sv
B|Yeah. Because I know,|b %
A|You know, for example airline pilots. I mean I do want my pilot to be sober|sd sv
B|Yeah. Because I know, I worked at a still mill in this summer. And I know, that, um, I've covered for people that came in drunk, you know, on the late shift or something,|b % sd sd
A|Uh-huh. Yeah, yeah.|b b b
B|and it, and it's dangerous. I don't even like having them around. I kind of do their work for them because they make it more hazardous than what it is without them, you know.|sd sd sd
A|That's right. Yeah, I know yeah, I feel, you know, I think some of the people that oppose, you know, mandatory drug testing for certain areas say, well, it's not,|ba b % % sv
