A|All right and, and your occupation is teaching?|b qy^d
B|Yeah, it, it, I see that the, I think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, I think.|b % sd sv
A|Uh-huh.|b
B|But it, I think it varies, it, it just so much. Anything, anything can go.|sd sd
A|Uh-huh.|b
B|And you can see in some of the departments in some of the schools, like history at Clark, they're all pretty fancy. But they're just sort of into clothes, and then there's other departments that aren't.|sd sd sd
A|Right. Right, right.|b b b
B|And they'll just wear your common, ordinary, you know, whatever you might might say,|sd
A|Yeah, there's a couple teachers up there that, that do dress up more than others.|b sd
B|Right.|b
A|Right.|b
B|And so you try to maybe follow those if you know you're going there, you don't want to dress too tacky because you're going to be in the same room with them.|sd sd
A|Right. Well, and you always, course, it's a standing joke, you know, when the, when the men come in in a, a tie and a suit coat, you say, you know, what, have you got a job interview today or, there, there's, There's usually, yeah, there's usually something going on that, that, uh, and would, would, uh, cause that to happen|b % sd sd
B|Or you're going to be observed. Yeah.|^2 b
A|and I, I don't know how a coach would feel if, that teaches health or you know, English, or whatever that they had to wear a tie. I, some of those male coaches, that might really,|sd % sv
B|Right. They go around in their little coaching shorts or parachute pants.|b sd
A|Right, and a T-shirt. Right. That I didn't ever understand. I mean we've got coaches that teach health for five periods and then have athletics sixth period so|b ^2 b sd sd %
B|Yeah, well at Vines, the coaches don't do that.|b sd
A|Whether,|%
B|They, they dress pretty good, I would say and then they go to their coaching and they, they put their shorts on there.|sd sd sd
A|Change then. Well, see, that's what I would think.|^2 sd
B|Uh-huh.|b
A|That's what I would think.|sd
B|But, they, they don't look, you know, they don't wear their sweat pants or, or anything. They're, they dress like any other teacher would in in a classroom situation, not in P E.|sd sd
A|Right. Course, we had, had one coach, one period he'd teach P E and the next period Health and then a period of P E|b sd
B|Those I can understand.|sd
A|and, and that's hard.|sv
B|Yeah.|b
A|You know, so he just left warm-ups on, but, but, uh, no, I think, really probably, they could, they could, uh, really, and I don't know if, if they put, make uniforms the thing for the kids, I guess the teachers will have to follow suit with a dark skirt and a white top and,|sd % sv sd sd %
B|I don't think we'll ever get to that.|sd
A|You don't think so.|b
B|No, I don't think. I think we're going the opposite direction. It's the parochial schools that I guess many they've had uniforms for years, I don't really know if they still do.|nn sd sd sv sd sd
A|Well, some of them, yes they do and, and it's not at some of the private schools,|sd sd
B|It certainly makes it easier to dress.|sd
A|but even there's a couple public schools in Dallas where, where the kids wear uniforms and the teachers, you know, dress in accordance with that.|sd
B|Uh-huh. Well, it's certainly cheaper and easier in the long run, I think, that you don't have to be concerned about your wardrobe.|b sv
A|Uh-huh. Well I, I think it would make a difference at school. I, I don't think we should be spending time saying somebody's wearing torn clothing or wearing too shorts, too short or they've got the really short skirt and the black nylons and the high, you know, I mean it's a lot of trouble to, to take care of that.|b sv sv sv sv
B|Uh-huh.|b
A|And, of course, the kids say, then why bother, just let me wear what I want. And, and yet we can't to that either. I'd like to see them go to, to not necessarily a uniform, but saying that they've got to wear a button down shirt. You know, that would, that would alleviate any T-shirts with sayings on them. But if they could wear a button-down shirt and a pair of dark slacks and they could buy them anywhere they wanted and,|sd sv sv sv sv %
B|Yeah, but I doubt that that would come that that will come about.|b sd
A|And then the girls,|sv
B|Just|%
A|Right.|b
B|Yeah, I, I,|b %
A|I don't, no, not in Plano.|% aa sv
B|No not,|aa %
A|They may get|%
B|Yeah.|b
A|but they said in the Dallas schools that that helps their educational process there.|sd
B|Well, I think it does. It, it takes their minds off of, of trying to compete.|sv sv
A|Highland Park's thinking about going that route.|sd
B|Uh-huh.|b
A|So it, and then I think that's going to push teachers to dress a lot more professionally than they do.|% sv
B|Yeah, I, I don't think a lot of teachers are very professional but,|b sv %
A|Yeah, I agree with you on,|aa sv
