A|Okay Where to start.|fo_o_fw_"_by_bc qh
A|Uh-huh. I agree with the phone, too, in that, I'm single, but when I come home from work, there's times I need to pay bills, I need to balance my checking account, I need to do all kinds of different things like that, and even though it's friends calling, sometimes you just feel like, this is my quiet time, I need to get things done and the phone ringing bothers me, but that's, that's where answering machines are nice, because if it's really important they'll leave a message and I can call them back|b aa sd sd sd sd sd sd sd sd
B|That's right.|aa
A|But, uh, at work I have so many phone calls from customers calling in, sometimes it is just, I just want to get away from the phone ringing because it, it really does annoy me. And, uh, if I've had a lot of phone calls during the day when occasionally when we have, uh, like this past week, we have to do a lot of troubleshooting when the programmers have installed a new system, and, uh, phone rings like crazy and you come home and the last thing you want to do is have to answer the phone. And if it's some salesman, that just makes it even that much worse. And, uh, it just, I get to where I, I turn the answering machine on and just let it pick up the phone, but now with this thing I'm participating in, I kind of have to answer it, because you never know if it's the switchboard or if it's, uh, you know, somebody calling that you really don't want to talk on the phone.|sd sd sd % sd sd sd sv sv % sd sd
B|Well I have, now we have a, you know, voice mail system at, uh, at the office.|sd
A|Uh-huh.|b
B|Now what I have done is, I have forwarded my home phone to the answering service at the office so that I do not have to have a, uh a ring at all. If I, if I want to do that.|sd
A|Uh-huh. Uh-huh. A ring at all. Oh, huh. That's an idea Right.|b b ^2 b ba b
B|And, uh, or I will just let the phone ring three or four times and know that it will forward to, uh, to the office.|sd
A|Uh-huh.|b
B|And so it's, you know, it makes it convenient. But at the office when I, you know, we can, uh, on our system, and I imagine on most systems you can just route it directly to the answering service.|sd sd sd
A|Yeah. Ours is that way, too.|aa sd
B|And when I, when I want to be, you know, not bothered during the day, that's exactly what I do.|sd
A|Uh-huh.|b
B|And so, uh,|%
A|Well, yours is probably the same as ours. It's, uh, Tigon , isn't Tigon , uh, part of G T E or vice versa or something like that.|sv sd qy
B|Uh.|%
A|Seems I read,|%
B|Yeah, well Tigon is part of G T E.|ny sd
A|Okay. Okay that's it, that G T E had purchased Tigon and, Yeah, that's what we have.|bk bk sd sd % b sd
B|Except we call it Aspen.|sd
A|Aspen?|qy
B|Yes.|ny
A|Huh|b
B|And, uh, we,|%
A|I couldn't remember in Tigon had purchased G T E phone mail services or if G T E had purchased Tigon . I knew there was some type of a tie in there. I remember reading in the paper a few months back but,|sd sd sd %
B|Yeah, G T E purchased Tigon .|b sd
A|Okay.|bk
B|And so, we had, had been using a, the Aspen service before they purchased Tigon|sd
A|Uh-huh.|b
B|so I imagine we will be, uh, shifting over to that service uh, for a while, or if, in a while As soon as we determine what we're going to do with Contel after we bought Contel|sd
A|Uh-huh. Uh-huh. Oh, no.|b b ba
B|Yeah. Oh, Dana, I think we have probably conversed long enough.|aa sv
A|I think we did,|sv
B|Well,|%
A|that's good|sv
B|All right.|aa
A|I didn't think we could go too far on this privacy thing, but, uh, I guess it's close enough|sv sv
B|well thank you for calling. I I, I enjoyed talking to you.|fc fc
A|Sure, good talking to you, Jim. All right. Bye-bye.|fc fc fc
B|Take care.|fc
