A|Where do you live?|qw
A|and there, right outside the, that place where the garbage can is we have the bag for the newspapers, and now we've got the bag for the plastic bags|sd sd
B|I understand, uh, my husband about once a weekend he'll go, uh, to a couple of areas where he knows that the people just throw cans out.|ba sd
A|Oh, yeah.|b
B|And he'll go pick them up because he just can't stand that. He, he,|sd %
A|Well, how nice, that's great.|ba ba
B|And, uh, it's so, you know, he, we have all our piles of, of recyclables also.|% sd
A|Uh-huh.|b
B|I remember at Christmas the, the only thing that I'm, when you were talking about the composting, the only thing that our city did that was they uh, provided a place for us to take our Christmas trees. Uh, to for them to mulch. For, for city use.|sd sd
A|Uh-huh. Yeah. Well, that's, they just put all our Christmas trees in the regular, uh, compost, pickup|b b % sd
B|Uh-huh.|b
A|so they did say that you had to put it out within, I think it was, uh, three weeks after, Christmas.|sd
B|Uh-huh. Right.|b b
A|And, uh, otherwise you would have to treat it like you would any other lawn refuse. It would have to be cut into four-foot lengths. So, you know , if we have branches or something, they have to be cut in four-foot lengths,|sd sd sd
B|Uh-huh.|b
A|but otherwise, uh, they have to be in one of their paper bags.|sd
B|Well, that sounds like you all really have a, a great system worked out there.|bf
A|And they even picked up our, uh, Styrofoam packing materials. They brought, uh, the week after Christmas they left a plastic bag on everybody's front doorknob with a little note on it saying, we're trying something new next week only, if you have any, uh, of those little, uh, Styrofoam peanuts that, any of your Christmas presents were packed in, put them in this bag and leave it out with your recycling|sd sd
B|Uh-huh. Uh-huh.|b b
A|and we'll, uh, take all of those back and try to recycle them.|^q
B|Right. Well, see that's one,|b %
A|But I, that's not going to be a regular feature. That was just a one time thing right after Christmas.|% sd sd
B|Well, the, but, uh, something does need to be done about the Styrofoam that, uh,|% sv
A|Well, those things must take up a huge amount of space in landfills.|sv
B|Oh, yeah, I mean, they don't, uh, uh,|aa %
A|They don't mash|sv
B|No.|aa
A|They don't compress at all. And they stay forever.|sv sv
B|Right. And I've seen where some places have taken a plastic and, uh, they're recycling them into other plastics. And the Styrofoam also into insulation and things like that|aa sd
A|Uh-huh.|b
B|and I think that would be great if they could get something organized along those lines.|sv
A|Yeah, I do too. The difficulty with that is that very few people have enough to make it worthwhile. It, they really have to rely on businesses that generate a lot of that stuff.|aa aa sv sv
B|Right.|b
A|Uh, because otherwise, uh, you know, they're not going to go house-to-house collecting it, and you're not going to bother if you have one bag full, to drive all the way to some recycling center to turn in just your little plastic peanuts|sv sv
B|Uh-huh. Right Oh, I was thinking about, you know, like the, uh, the Styrofoam used at, uh, the fast-food restaurants, that if everybody, uh,|b aa sv
A|Yeah.|b
B|and so, yeah, I know like our cafeteria here uses a lot of Styrofoam but, uh,|% % sd %
A|Now we quit that about two years ago, no, three years ago when we got china mugs for everybody.|sd
B|Huh.|b
A|So, and the only difficulty with that is that we're in the middle of a five-year drought and so it's a real difficult choice whether we want Styrofoam cups to fill up our landfills or, uh, china cups to use up our water But at the moment we're using the china cups, and everybody gets one at the beginning of the year, and then, uh, your supposed to keep it recycled every day.|sd sd sd sd sd
B|Well, that's good. That's a,|ba %
A|Yeah.|b
B|they should last awhile|sv
A|Well, let us hope that everybody's going to be paying more attention to this and that we will get, uh, better reuse of things because,|sv %
B|I believe we are. I I have to believe everybody is starting to pay attention and take heed of what is happening.|sv sv
A|Yep.|b
B|And so it will, it will be good, in the long run.|sv
A|It sure will.|aa
B|Well, I enjoyed it.|fc
A|Well, good to talk,|fc
