A|Okay. Um, what do you do this weekend?|fo_o_fw_"_by_bc qo
B|Yeah, that's, we, that's what we're searching, uh, we've got, we've got all the different lake editions around the house and we're, we're kind of experimenting right now.|b sd sd sd
A|Uh-huh.|b
B|We do, we've got the direct sun in front and the backyard has two great big, uh, spruce and, and an oak tree all about forty to fifty foot tall so the backyard is just complete dark all day long.|sd sd sd
A|Huh.|b
B|And, uh, we're we're struggling to find something for those areas.|sd
A|Yeah. Have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not?|b qy
B|No, they're, they're in pretty good condition.|nn sd
A|Yeah.|b
B|Uh, we've been, we've been pretty lucky on that.|sd
A|Yeah, just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have some old fruit trees.|b sd
B|Uh-huh.|b
A|We have a plum that's just about ready to go,|sd
B|Uh-huh.|b
A|so we may just be getting rid of that but, but our peaches they, they seem to be doing just fine, but they, they really need pruning.|sd sd sd
B|Yeah.|b
A|It just seems like they, that, that even, you know, pruning once a year is really not enough but the, the way they behave.|sv %
B|That's true. That's true.|aa aa
A|I don't know. But, uh, but, uh, what kind of, uh, what kind of, what kind of grass are you growing?|h qw
B|It's, uh, bermuda.|sd
A|Bermuda.|b^m
B|Yeah.|b
A|Yeah. Oh, I've, I've been trying, uh, uh, a mixture of, uh, the bermuda and the rye,|b^m sd
B|Okay.|b
A|but I may be working like a fescue in because of, you know, the type of weather. It seems that, uh, bermuda's, bermuda's fine but, um, it looks like it would hold the soil but it really doesn't.|sd sv sv sv
B|Right.|b
A|A lot of, a lot silt that comes in it just doesn't seem to hold it very well.|sv
B|Yeah.|b
A|But, uh, but the rye does really well. Especially during the wintertime.|sv
B|Okay.|b
A|But, uh, but, boy, once it gets over seventy, seventy-five degrees that, it just dries up, shrivels up and dies.|sv
B|Uh-huh.|b
A|But anyway.|%
B|Yeah, it's, uh, there's such a, there's such a difference, through the year. Uh,|b % sv
A|Yeah. My, my parents-in-law they're, they're building a house into the side of a hill, um, well, it's already been built and everything.|b sd sd
B|Uh-huh.|b
A|They've been living there for about three months now, but, uh, this is out in west Texas,|sd sd
B|Uh-huh.|b
A|but the, the wind there, has been so bad that, I mean, they've tried to plant grass and they just, have some problems, big time problems|sd sd
B|that's it .|ba
A|they just, so they just washing , uh, watching their lawn just blow away.|sd
B|Yeah.|b
A|But it's, it's quite an undertaking. They have about two or three acres of land on lake front property, on a, on the side of a hill.|sd sd
B|Oh, wow.|ba
A|It's beautiful, I mean, you can see the house from, you know, miles away,|sd sd
B|Uh-huh.|b
A|but it's, you know, it's a pretty neat little job but, they save a lot of, they save a lot of energy|sd sd
B|Yeah.|b
A|but just, uh, you know, for them, I mean, they, they're going to have to start gardening. It's going to be from the ground up.|sv sv
B|Yeah.|b
A|The whole way.|sv
B|Yeah.|b
A|And they said, well, we just plan on spending the rest of our lives just, getting this property developed. It's amazing, I mean, they have, have the, all they have are uh, mesquite and cottonwoods,|sd sd sd
B|Yeah. Yeah.|b b
A|and, uh, it's, it's all on Lake Greenbelt , that property out there.|sd
B|Okay.|b
A|And, uh, I don't know, that what they have, they have all the water they want,|sd sd
B|Uh-huh.|b
A|they can, they can actually, they can pump water, I mean, they have to get permission but they can pump water up from the shore,|sd sd sd
B|Okay.|b
A|but, uh, that's for like an additional, they have to pay like some kind of fee per year.|sd sd
B|Oh, okay.|b
A|But, uh, they're, uh, right now though I think they're just, they're trying to get the trees planted and everything.|sd
B|Sure.|b
A|But, man, I, I just think of all of the money that they, that they're going to have to spend just getting that. But the taxes alone there, Lake Greenbelt and some places, they, they, they really nail them for tax.|sd sd sd
B|Uh-huh.|b
A|And, I mean, your talking what, just several hundred dollars a year in property taxes.|sd
B|Wow.|ba
A|It's, it's ridiculous.|sv
B|That really is, it, it would, it seem like it be just the opposite when you get,|aa % sv
A|Yeah. No, no, it's not it's, because even though it's far out there, it's just that Lake Greenbelt , you know, they have to, they, they try to do it just from the, selling the water.|b ar ar ar sd
B|Uh-huh.|b
A|But, um, the water usage, you know, they try to limit, even though there's three or four streams that flow into it, people still use it enough in, like in towns like Clarendon and other areas that, where they irrigate.|sd
B|Uh-huh.|b
A|They they, they still haven't gotten used to the dry land farming but, the irrigation because it's gotten so bad the past few years,|sd sd
B|Yeah, that's true that,|aa aa
A|but I don't know I just came back from there and just the air is so dry. I don't see how anything can survive out there, for long periods of time. Should say my father-in-law says the mesquite trees are, they're, they're pretty smart, they're smart, they're about the smartest tree around. They don't, they don't even start growing until May, May or April, like after it's been raining for a few months.|h sd sd sd % sd sd sd sd
B|Yeah, that's true. That's true.|aa aa aa
A|They say the roots have developed so that's all they work on. Just a leafy, they don't do anything.|sd sd % sd
B|Uh-huh. Yeah, that's something I've been, uh, been looking around and noticed all the flowering trees and stuff are, at this time of the year|b b sd
A|Uh-huh.|b
B|and, you know, we're trying to decide what, what to, what to put on one side of the house and things like that, but there's so many things that they, they last for just a couple of weeks and then it, then it's just a, a bush there from then on. It's kind of, it's kind of disappointing.|sd sd sd sd
A|I, I don't know my, my wife and I, we planted on the, on the south side of our, of our house we planted some gardenias.|h sd
B|Uh-huh.|b
A|And they did real fine during the summertime it's just, but during the fall when it stopped, when, uh, the rain let off just a little bit it, I mean, it just dried up.|sd % sd
B|Yeah.|b
A|And, uh, so I guess, it, these plants they just, they don't, it's like they remain ...|% %
