B|Okay.|fo_o_fw_"_by_bc
B|Yeah. The thing, uh, the other thing too, when this all started if you, you know, if you did much reading on the thing, you know, Kuwait, the country of Kuwait was just, you know, somebody's uh, you go back to World War I when the, uh, Ottoman empire broke up and the British and the French and the, yeah, the British and the French mostly decided to carve up that part of the world and call part of it Persia and part of it Iraq and part of it something else, you know,|b sv sv
A|Uh-huh. Uh-huh. Uh-huh.|b b b
B|and they, they split things along, um, geographical lines but they didn't take any kind of consideration into, uh, social or cultural things at all.|sv
A|Right.|b
B|So, the country of, of Kuwait really doesn't make just a whole lot of sense except that it is an excepted place, you know|sv
A|Yeah.|b
B|it's like any other country, you know, for whatever reason it's, it's actually there. Well, Iraq has had, uh, designs on that place since nineteen twenty-two so, you know, it wasn't like something that just suddenly popped up.|sv sv sv sv
A|Yeah.|b
B|And it's just that this was an excuse, you know, to make some noise Now, something that I read in the paper the other day that I thought was kind of interesting was that the Arab, uh, uh, their version or vision or whatever the United States, now, is somewhat changed in that we won, you know.|sv sv
A|Yeah.|b
B|Now, now we are a, uh, a legitimate player, in the game over there, you know, the, the, I don't think we can really understand their attitude because there cultures are just so much different.|sv % sv
A|Right.|b
B|But, uh, we are now a legitimate player in the, in the, in the game because we came in with a certain amount of force and we, you know we defeated, you know Iran couldn't do it in seven years and we went in and did in seven days what Iran couldn't do in seven years, you know.|sv sv sv
A|Right.|b
B|So|%
A|Right|b
B|that kind of ups our stock in there just a little bit. It makes us more legitimate. So, now what they're saying is that, well, since we won whatever we say goes because it's, uh, a kind of a might make strike sort of attitude about it and, you know, we've got the power. Which is why for centuries or hundreds of years the British and the French had so much influence in there|sv sv sv sv
A|Yeah.|b
B|because they'd go in and they'd win something.|sv
A|Right.|b
B|And then, and then they could call the shots for the, you know, period of time until the next strong man came up and, you know and caused problems.|sv
A|Right. Well, I just, uh, I'm not interested in keeping big military over there and having to go and call the shots like you say.|b sd sd
B|Yeah. Yeah.|b b
A|And I just would prefer that, I mean sometimes we've said let's keep, we're not interested in what other countries do.|sd
B|Uh-huh.|b
A|And then other times we jump in and do things and while I'm glad that they, uh, I, it was important demilitarize that area because of all the build up armaments.|sd sd % sv
B|Yeah.|b
A|I don't, I hope we don't try to keep, uh, in there and try to keep our fingers in the pot and try to, stay over there because we just don't want to send our people there and make them stay.|% sd sv
B|That's, that's the, uh, that's, that's the big thing, you know, we still got a little bit of the old, you know, Vietnam, um, problem, you know, in the back of our minds. We, we got this,|sv sv %
A|Yeah.|b
B|we're, we're used to wars where you can get in do the job and get out. Vietnam we never did get out, you know, never did get the job done because they were too ham strung .|sv sv
A|Yeah.|b
B|Uh, this thing they, they gave the guys, uh, the power and the material and the, told them to go do it and they did it. You know, got in and got out.|% sv
A|Yeah.|b
B|I'm not sure, the, the big fuss that we're going to see now for the next few weeks I would think is, uh, you know, the, uh, the business with the, uh, the Shiites of all people, you know, in the southern part of the country and also the Kurds because these people evidently are, you know, being killed off by the thousands.|h sv sv
A|Yeah.|b
B|And whether the, the United Nations, I don't think the U. S. will do it on their own but whether the United Nations comes around and says, hey, wait a minute we know this thing isn't, uh, all that much over, we've got to go back in there and, and be sure that this large population isn't just wiped out.|sv sv sv
A|Uh-huh.|b
B|Which is, seems to be exactly what's happening right at the moment.|sv
A|Uh-huh. I noticed that.|b sd
B|But, um, you know,|%
A|Well, I don't think there's much hope for a lasting peace over there like they,|sv
B|No, there, there never will be.|aa sv
A|Yeah.|b
B|I mean, uh, uh, the only way that you're going to have peace over there, if, if we determine that we want to go in and wipe out every last one of them, you know, until we make a decision to do that there won't be peace but I don't think we want to make that decision either.|sv sv
A|No.|aa
B|So that's, that's a little rough, you know, we're not, we're not quite up to that sort of thing.|sv sv
A|No.|aa
B|So|%
A|Well, I guess I better go I have a repairman just came, for my refrigerator,|sd sd
B|Oh Oh, well, that's, that's fun.|b sv
A|But, Yeah. Well, I enjoyed the topic. I hope you have a good day.|% b fc fc
B|You too.|fc
A|Okay. Bye-bye.|fc fc
B|Bye-bye.|fc
