A|Okay, what kind of car are you thinking about buying next?|fo_o_fw_"_by_bc qw
A|I don't like those styles, um, the M P V is more of, uh, uh, just, uh, I don't know what you, normal, I don't know how to explain, more of an old fashioned type. I, I'm not sure how to explain it,|sd sd sd
B|Yeah.|b
A|I mean it looks, I guess, kind of like, uh, the Chevy Aerostar or Arrow,|sd
B|Yeah.|b
A|no, what Astro, Astro, I guess, is what it, something like that,|ar % sd
B|Oh, okay, yeah .|bk %
A|but I used to really like the looks of the M P V because it looks more like a mini van rather than I think,|sd
B|Do you have, uh, do you have a family?|qy
A|Yeah, I have a couple kids|ny sd
B|Okay, well, that's probably influenced maybe a little bit .|bk sv
A|Oh, yeah, definitely. But, I know that it's got to have a radio, it's got to have air conditioning, I'm sure you can, uh, relate to air conditioning Um, living in Arizona,|aa aa sd qy^d
B|Oh, yeah.|ny
A|but, and cruise control and tinted windows, that's about it, I mean, it's got to have those things, otherwise, I don't care.|sd sd
B|Yeah, well, when I bought my car, it was right out of college and, uh, you know, I always been looking for something sporty and I ended up getting, you know, basically something that I could, you know, afford.|b sd sd sd
A|Uh-huh.|b
B|The only gripe I have is performance. I probably, uh, a few girls that I've gone out with, I've had, uh, like Mazda R X sevens and stuff and they're, they're pretty fun to drive, so, so, I think that's what, uh, I, I'm going to have to get next time around, I keep, I keep holding off|sd % sd sd sd
A|Yeah. Oh, really?|b bh
B|and then I could, I could upgrade now if I wanted to but I just, I, it's just such a huge expense and, and, uh, I, I'm just going to keep holding off but I'm definitely going to look for something, uh, in the, you know, nice, you know,|sd % sv sd sd
A|Sports car I'd like to have a sports car too, but it's not practical for me, but,|^2 sd sd %
B|Yeah I'm in, are you still there?|b % qy
A|Yeah. Whoops. There's some kind of problems. Hello,|ny ba sv qy
B|Hello.|qy
A|are you still there?|qy
B|Okay.|na
A|This is, something's wrong.|% sv
B|Wonder what happened.|qw
A|I don't know, it sounds funny though, doesn't it?|no qy
B|Huh, anyway, um, but I'll probably, um,|b %
A|Huh.|b
B|it just depends, I know that's what I want, but I don't know if I'll get myself to spend that kind of money, you're looking at, you know, for a new R X seven or, a Supra or something, you're looking at twenty-five K or something, that like|sd sd sd sv sv
A|Oh, at least, yeah,|aa aa
B|and so, anyway but, Anyway my ultimate car though, the, the one that I really want is, uh, five sixty or so, Mercedes,|sd
A|I know, well, new cars aren't cheap anyway, but,|sv %
B|so,|%
A|Huh.|b
B|maybe someday|sv
A|Yeah, we have, we all have those kind of dreams too, don't we?|aa qy
B|Yeah.|ny
A|What I'd really like to have|%
B|That's the only one that I, you know, I you know, I see, uh, you know, early on that, that, that says, it says, you there?|sd qy
A|Yeah. This is strange.|ny sv
B|Hello.|qy
A|Hello, I think, something's wrong with this.|qy sv
B|Okay.|b
A|I hope it's recording|sd
B|I hope it's not my , you there?|sd qy
A|Yeah|ny
B|It may be my phone, um, anyway it's the only car that says, you know, sporty and class, uh, so,|sv sv %
A|Yeah, you're right Yeah.|aa aa aa
B|uh, kind of what I'm, but it's, at the other one my brother's got a Miata and those are fun.|% % sd sv
A|Oh, those are nice,|sv
B|And, uh,|%
A|yeah, they're, they're cute cars|b sv
B|Yeah, well, he did, he had a, a red Miata,|aa sd
A|Uh-huh.|b
B|and, uh, he actually, they came out with a European racing, green, uh, Miata that's a limited edition,|% sd
A|Oh.|b
B|they're only going to make like three or four thousand. So, he went out and he traded the other one in and got this one,|sd sd sd
A|Wow, I haven't seen those.|sd
B|and I'm like, um , but, uh, I haven't seen one yet either but supposedly they have some real wood built in to like the clutch and all this and the steering wheel,|sd sd
A|Wow.|ba
B|so, it's, it's very authentic and there only is supposed to be limited edition so it may be, may be a good investment. If it,|sd sv %
A|Oh, yeah, definitely.|aa aa
B|Yeah.|b
A|If it's a limited edition usually, no matter what it is, if it's a limited edition, it's usually worth something later on.|sv
B|Uh-huh. But, uh, I think hello,|aa % qy
A|Yeah.|ny
B|okay, yeah, I got off my pace or my cordless phone, anyway, uh, hope it's not going bad,|bk % sd
A|Oh.|b
B|it's going to bump me out. Um, but he, I think he, he only spent, you know, the low twentys so, I don't know.|sd sd h
A|Really? Now, see, I would have never figured that, I would have figured that to be a lot more than that for something that's limited edition.|bh sv
B|Well, I don't know, I think the demand's gone all, down a little bit. I think you can, the prices aren't as high, you know, and the, the Miata was first introduced, uh,|h sd sd sd sd
A|And, well , they weren't really that bad though when they were introduced were they?|qy
B|yeah, the demand is so, high that, uh, you know, they were going to retail them around like you know, thirteen standard, you know, and you get your options, your looking at fifteen or fifteen|ny sd sd
A|Yeah. That's true.|aa aa
B|but there were, you know, people were buying them for nineteen and twenty,|sd
A|Uh-huh.|b
B|and, um, they, they may have gone down a little bit|sd
A|Huh.|%
B|but I, they're still pretty much in demand. I think there's another car coming in, it's supposed to come out and compete with that Miata,|% sd sd sd
A|Huh.|b
B|and I can't remember what I read about that but so, that's , I mean, I would think somebody would try to compete with that because it is very popular, so.|sd % sv %
A|Yeah, it really is.|aa aa
B|But,|%
A|Have you seen the new, uh, Dodge Stealth? The, the,  real nice one|qy
B|Oh, yeah. yeah, and the Mitsubishi,  three thousand G T , is the same, same.|ny ny sv
A|Yeah. Yeah, the Mitsubishi is real nice looking too,|b aa sv
B|Yeah, well, that's, that's, that's the same manufacturer|aa sd
A|now those are nice|sv
B|and so , they just market them.|sd
A|Right. Right.|b b
B|But, uh, yeah, those are and those are supposed to be very performance power, I mean, they're, there is, yeah, big time.|b sd
A|The expensive ones, they have a cheaper model too that you can get for about seventeen thousand, but those are pretty stripped, and there's nothing, there's really, that one's just more for looks, you know, it doesn't have any, really the performance that the expensive one does.|sd sd sd % sd sd
B|Yeah.|b
A|You know, but I've seen one of those, and it's not that great, I mean, because they really,|sd sd
B|I think they're only around, uh, twenty-nine K.|sd
A|Yeah, like, I mean they have, um, better , it's not quite as nice for a little bit less.|b sd sd
B|Yeah.|b
A|Yeah, they're not really that bad but I don't know, like I said it's, it's still not practical for me I have a hard time looking at cars like that because I think, now, there's no way I can do that|b^m sd h sd sd
B|Yeah, I'm being single and no other responsibilities for yourself, I guess, you know, it's, I can, I can, I've been pretty happy,|b sd sd
A|Right.|b
B|I've, I've, haven't tried to upgrade myself right now, that's, uh, you know, I could, I could have, you know, get something nice and upgrade but I just, uh, I'm consulting right now, so,|sd sd sd %
A|Oh, really?|bh
B|I just made my first job hop about eight months ago, so.|sd %
A|uh ...|%
