A|Okay.|fo_o_fw_"_by_bc
B|and sometimes it comes in right away and it's like, oh, well, guess, I have to pay that too.|sd sd
A|Yeah.|b
B|Because like many times I'll I'll buy some things towards the end of the month thinking, hey, I won't get that bill until the next bill, not this bill.|sd
A|Right.|b
B|And it will come in on the next one, you have to pay for it right away anyway.|sd sd
A|Yeah|b
B|But sometimes the is long . Like I've had things that I didn't get billed on for two or three months.|sd sd
A|Yeah, I guess it depends on whoever you buy it from how fast they turn them in or something.|aa sd
B|Yeah.|b
A|Lot of places have I guess they're called those pointed sale terminals where it's like it goes in the minute,  you charge it.|sd sd
B|Immediately. Yeah,|bf b
A|Yeah.|b
B|but, that's what happened with us like we bought a washing machine seven months ago,|sd sd
A|Oh.|b
B|and that I got billed like the next day|sd
A|Oh, gosh.|ba
B|It didn't matter because we couldn't have paid for it by check but we prefer like with the credit card you get the automatic, um, one year guarantee so if something breaks, things like that.|sd sd sd
A|Yeah, that's nice.|b ba
B|You can, uh, return it so like the washing machine we bought it in October and, you know, if something goes wrong with it within the first year we've got an automatic guarantee on it besides the manufacturer's guarantee.|sd sd
A|Right.|b
B|And somethings like that are,|sd
A|Yeah, I like that feature and the like if you break it yourself even, you know,|b sd sd
B|Right.|b
A|if you buy something that's breakable.|sd
B|Or if it gets stolen or if you lose it or whatever it might be|bf
A|Yeah.|b
B|and so, so that's, you know, another advantage. And then even things like airline tickets you automatically get flight insurance which, um, you , hopefully you never use. But like if your but things like if your baggage gets lost, you get money for that to buy new bags and things like that.|sd sd sd
A|Oh, really? Oh, I didn't know that.|bh sd
B|And yeah, when you rent a car, you get that and sometimes you get discounts with the cards and so ...|aa sd sd %
