A|What's the, uh, in Texas law has a, uh, what does it have, it has a death penalty doesn't it?|% qy
A|Well, Charles will actually, Charles will not smoke in anyone else's house except our own.|sd
B|Um.|b
A|He will get up and he'll go outside, you know, and he, he's so, when we're invited to people's house, he will not smoke in their house. Which I think is good because there's a lot of people that are very,|sd sd % sd
B|Yes.|b
A|particularly if they have children.|sd
B|Uh-huh.|b
A|But, uh, and he's, you know, he tries his best, but the actual quitting he hasn't done. He changed brands to a brand he doesn't like. He put up all of his ash trays. He will not smoke in a comfortable position, you know, but still he's done everything the Smokers Anonymous tell you to do except quit smoking|sd sd sd sd sd sd
B|Uh, uh-huh.|b
A|It's a,  long process.|sv
B|Well, the,  there's a trick I use. They used to leave my cigarettes in the glove compartment.|sd sd
A|Oh, how neat.|ba
B|And every time I wanted one I have to go outside and just take one. One at a time. And, uh, that, that 's, gets to be, uh, a deterrent.|sd sd
A|He has his in the kitchen,|sd
