A|Go ahead. So Ken, how do you do your family budget?|ad qh
A|We met half way between, at her parents house and, um, she had on a new pair of jeans and she'd gotten all new underwear, and I was like, Laura.  How did you get all this stuff? imitates a woman's "Well, I just got paid." And, and I was like, oh.|sd sd sd sd ^q sd
B|Had some money in her pocket, yeah.|ba
A|It was there. It was burning. It had to be spent. You know, and I'm like and she said everything was on sale. Oh, oh, that's good, at least it was on sale That's good honey, I'm glad you bought it on sale What else can you say?|sd sd sd % sd ba sd ^q ^q bh
B|That's right. I do recommend the for savings bit. They, uh, they take it out or your paycheck before you see it because it doesn't hurt.|ba sv sd
A|Yeah. I think, Yeah. You don't notice it. I think that's probably a really good idea.|b % b sd sd
B|You know, you don't even think about it if it's gone.|sv
A|Huh-uh.|b
B|Yeah, so, uh, until you really need it and then you realize, you've got a couple of thousand dollars built up someplace else.|b sd sd
A|Yeah. Yeah, see I was, when I had, when I was living alone and I had my own house and things, uh, I put one, I was paid twice a month, one paycheck went into savings and one went into the checking account that paid the mortgage,  and the food bills|b b % sd sd sd
B|Right.|b
A|and it, and I was even able to, you know, to accumulate some savings in a sense in the checking account, because I'm pretty thrifty and, you know. But my wife likes to spend. She enjoys, so that's fine But a for savings , I'll have to look into that.|% sd sd sd sd % sd
B|Yeah. that's, that's been our godsend, you know.|b sd
A|Huh-uh.|b
B|We've had some sort of major emergencies come up, you know, where, we also own our own house,|sd sd
A|Huh-uh.|b
B|um, we had an ice storm up here,  recently, where it was I mean, it was horrible.|sd
A|Yeah.|b
B|I mean, half the city owned trees . One-third of all vegetation in this county is just wiped out.|sd sd
A|Oh, really, because of the heavy ice.|qy^d
B|Yeah.|ny
A|It broke the limbs.|sd
B|Exactly.|aa
A|Huh-uh.|b
B|We had to our backyard tremendous willow tree that just fortunately, but it cost us, you know, a couple of hundred dollars just to bring the tree down. I mean, just to take off what was broken.|sd sd
A|Right.|b
B|Plus, we went with a friend, and they said you know, and then the whole ice storm cost us quite a bit of money, even though insurance picked up some of it,  still, not all of it.|sd % sd
A|Yeah.|b
B|They don't get, you know,|%
A|Huh-uh.|b
B|and that, plus and then we had a car expense like that same week. One of the cars died, you know. All of this adds up and that for savings really comes in handy.|% % sd sd sd sd
A|Yeah. Yeah. I can see that. I can that, I keep trying to say to her, Laura don't spend so much. What happens if something happens to a car, you know.|b b ba % sd ^q
B|Right.|b
A|Oh, well, nothing will happen. Oh.|sd %
