B|Okay. Do you, have you ever had to put your children in, child care, Mary Dell?|fo_o_fw_"_by_bc qy
A|And that was hard too. I, I lucked out with really good people both times but I know so many people that are never able to find that and I'd practically give my paycheck away to do it, so|sd sd sd sd %
B|Yeah. Yeah. Did you have a nanny or did you have someone  that lived in with you?|b b qy qrr
A|Yeah. Well no, she didn't live with us. Uh, the first one was an, elderly lady who was putting a, a daughter through nursing school  just purely on baby-sitting money.|ny nn sd sd
B|Oh. Oh my goodness.|b ba
A|And she kept Cheryl during the day and then did more baby-sitting at night.|sd
B|Uh-huh.|b
A|And she was neat because she was like the grandmother that my kids never had  because both our parents are dead.|sd
B|Yeah. Oh.|b b
A|So that, that was a plus from  that respect as well.|sd
B|Oh gosh.|ba
A|And then with Emily it was a neighborhood friend that kept her.|sd
B|Uh-huh. Uh-huh.|b b
A|So,|%
B|I have, uh,|sd
A|I just cannot fathom putting a little bitty baby in a commercial care center.|sv
B|Uh-huh. I was just listening to a program this morning, oh well, I guess it was on the HOME SHOW, but they were talking about, uh, a new, uh, oh I can't even think of the name of it. I was halfway listening while I was painting|b sd sd sd sd sd
A|Uh-huh.|b
B|Um, it's some kind of advisory board they've put together for parents and children|sd
A|Uh-huh.|b
B|and they've now moved it to Washington, D C and the, the doctor that was on there, the pediatrician said, you know, I can't imagine leaving a three week old and taking them to a nursery day-care   and leaving them there.|sd sd
A|Yeah. Oh that would be hard.|b sv
B|You know, so, um,|%
A|Well, they give a lot more leave. I work at N C N B now, and our benefits for maternal and, and parental care and even for elderly people are, are really expanding.|sv sd sd
B|Uh-huh.|b
A|We have more options now then we did when I, my kids were born, with being able to take off full-time longer of, you can phase your schedule in so that it's not full-time for   up to six months.|sd sd
B|Uh-huh. Oh boy, that's great.|b ba
A|It's really neat. I've, I've had a couple of assistants that came back just three days a week or they've, you know, whatever schedule they want from a pay standpoint.|sv sd sd
B|Uh-huh. Uh-huh.|b b
A|We try to work it with their hours. And that helps because you don't have to just wean yourself cold turkey and say  okay, I never get to see my baby for eight hours a day again.|sd sd
B|Yeah. Right. Right.|b b b
A|And the bank has a lot of programs now for child care referrals. I've, of course it's too late for me so  I've, I've not tried them to see how effective they are|sd % sd
B|Yeah|b
A|but  I think we're finally beginning to make progress but just not very fast|sv
B|Uh-huh. Uh-huh. God, it's amazing|b b ba
A|And for our age group it's too late, too little, too late.|sd
B|Right. Right.|b b
A|But I, I do think it's an area that needs to be looked at and improved because more of us are going to have to work.|sv
B|Uh-huh. Uh-huh.|b b
A|Two income families I think are here to stay.|sv
B|Well and I would think, you know, since big business is supposedly why the government makes the decisions they do you know, the, the people that work in big business have families|sv
A|Uh-huh. Right.|b b
B|they have children.|sd
A|Yeah.|b
B|So, it's only to their advantage that they get these programs going and  working|sv
A|Oh sure.|aa
B|and, uh,|%
A|You retain employees and keep them longer. That's, that was the rationale they gave when they were giving us information about our Employee Assistance Programs that  they want us to be happy and want us to be able to cope with trying to split ourselves in fifteen million pieces|sv sd
B|Uh-huh. Uh-huh. Right. Right. Right.|b b b b b
A|So, I, I hope it helps. It seems to help the new mothers  not have to come back full-time.|sd sv
B|Oh that's good.|ba
A|because that's hard.|sv
B|That's good to know. I have a couple of friends that, have, have found the, uh, you know, a a private home to take their children to when they're young until they hit the preschool age.|ba sd
A|Uh-huh. Uh-huh.|b b
B|And they usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home|% sv
A|Uh-huh.|b
B|and my future, future sister-in-law's mother does that too, full-time.|sd
A|Well in Plano though the problem is, you find, and this is what I found with Emily. I, from the time she started first grade, I wanted her out in Plano area.|sd sd sd
B|Uh-huh.|b
A|And I kept finding neighbors and friends and they'd move.|sd sd
B|Oh.|b
A|She ended up being in a different home every year.|sd
B|Too transit. Uh-huh.|bf b
A|And I finally decided I didn't like that because it was traumatic to her to get so attached to a family and then have them move.|sd
B|And her surroundings.|^2
A|So this year I, I tried Kinder-Care and, then she's old enough to|sd sd
