A|So, how do we fix the national budget?|qw
A|Millspec and NASA work operates to the same demanding specifications,|sd
B|Uh-huh.|b
A|that would put a bunch of defense workers back to work.|sv
B|Right, compared to defense. Well, that's a good idea. Well, it, well, the other thing, and the other thing I, I, I think we seriously need to do is, um, like I say, have someone go in and look and, you know, and find out where it is we're paying ten thousand dollars per toilet seat or something.|b ^2 sv % sv
A|You know what causes that?|qy
B|Um, greed, I suspect.|no
A|Uh, no. Your, your buying large , uh, the government specifications,|arp_nd % sv
B|Uh-huh.|b
A|sheets of paper for building a pair of B V D underwear for the federal government,  is twenty-two foot tall.|sv
B|Yeah. Really?|b bh
A|If it was all on nine by elevens stacked one on top of another.|sd
B|For making, you mean, government issue underwear?|qy
A|For making government issue underwear.|na
B|Jesus.|ba
A|To just understand those legal requirements and operate within the government guidelines,  costs the company a huge amount of money.|sv
B|Uh-huh. Well, that's potentially a fault of the government then, I mean, that could, things like that should,|b sv
A|Yes, a huge amount of it is not the fault of the contractor.|aa sv
B|Right, well, that's a, I had never heard that before.|b % sd
A|Uh, a huge amount of what you hear on, about the seventy-five dollar hammers,  and the nine hundred dollar toilet seats doesn't come from people in the industry,|sv
B|Right.|b
A|it comes from senators that don't know anything about it.|sv
B|Huh.|%
A|Uh, my job is government tooling specialist.|sv
B|Oh, okay, so, you know about some of these things.|b bf
A|Yeah.|aa
