B|So, uh, let's see what was the topic, I forgot we are supposed to talk,|^h sd sd
A|So I switched to finance, and I liked it better and I pulled myself from a two oh to a two five, you know, in my last year, my senior year.|sd sd sd
B|Uh-huh. Yeah.|b b
A|But I would have really liked to go on, uh, secondary ed with math education,|sd
B|Uh-huh.|b
A|but it was just the fact I was paying for it myself, I was not going, to put myself behind another year.|sd sd
B|Right. Right. Well my wife, was sort of in the same situation, she was, she went to school to be a teacher just because she did not really know what else to go, for,|b b sd sd
A|Uh-huh.|b
B|and she did not realize until she got to be a senior and was doing her student teaching that she did not like it.|sd
A|Uh-huh.|b
B|But, you know, by then she had practically got her degree, so,|sd %
A|Exactly.|aa
B|so, you know,|%
A|I think if, uh, I would have went with the math, I think I would have done a lot better, because I was more interested.|sd
B|Uh-huh.|b
A|And that's what I, I knew that's what I wanted. But, uh, I think a lot of kids that hold off a year or two,|sd sd
B|Uh-huh.|b
A|oh, my gosh, I would like to see the results on a study done. I think they would do a lot better. Because they are more focused.|ba sd sv
B|Yeah.|b
A|They know exactly what they want to do.|sv
B|Yeah, I think, I think you are right, when you pull yourself away and then you get out and you say, man I really need this.|b sd sd
