A|Tell me what books you read.|ad
A|Uh-huh. What do you think is, the most promising, or practical book, uh, of that kind you've read recently?|b qw
B|Um, Oh, I I have a love affair with John Bradshaw. I just have found everything I've read of his to be fabulous,  um,|^h sv
A|Um.|%
B|he started out with one called THE FAMILY, which does the family systems and people's roles in the family. And then he did, uh, HEALING THE SHAME THAT BINDS YOU, about how shame can just be so paralyzing and people isolate and withdraw.|sd sd
A|Uh-huh.|b
B|And then the third one that he came out with is now called HOMECOMING Uh, and, uh, there's a subtitle to it, I never can remember what it is. It's something like, um, A JOURNEY IN, IN YOUR INNER, CHILD or something like that.|sd sd sd sd
A|Yeah. I knew, his literary agent in Houston when she was just, uh, convincing him to write all this down. He was  teaching,|b sd sd
B|Oh,  he's just great. And now he's had the, the first, the first one and the third one put into a ten session, uh, P B S series.|sv sd
A|Yeah. I I saw one of those episodes on P B S. Uh,  from time to time out here, we have four different P B S channels that we can get on the cable|b sd sd
B|Yeah.|b
A|And, they'll have all ten of those shown back to back, in the middle of the night for people can video tape them.|sd
B|Oh. I know Yeah, so people can just tape them I guess,  you know|b sd aa bf
A|Yeah.|b
B|But, I definitely have gotten a lot out of his lately He's just probably been one of the most, there's an author that's in, um, that's in, uh, Arizona, who used to be in Dallas. It seems like we have a lot of these that have been in  Texas, called P M Melody, who does a lot of writing on co-dependency.|sd sd sd sd
A|Uh-huh.|b
B|And she's got some fabulous workbooks out and a whole series of tapes and, uh, a workbook called BREAKING FREE, and just some real, uh, helpful, practical things for co-dependency.|sv
A|Huh. Uh-huh.|% b
B|So that's been another one that I've thought was real helpful. But, other than that, uh, my reading centers on PADDINGTON BEAR, and WINNIE THE POOH,  and   DOCTOR SEUSS|sd
A|Oh, yes. Oh.|b b
B|But, I really have enjoyed exploring children's literature because there's so much more, uh, new things out that, you know, I, I'd pull out the classics once in a while for my kids, but there's such cute things,  out for kids.|sd sd sv
A|Oh, there's some,  absolutely wonderful illustrated,  children's books.|sv
B|Oh, I know. And I just go to the library because I just, they're expensive,|aa sd
A|Yeah.|b
B|I mean, it, and they go through them so fast,  you know.|% sv
A|Uh-huh.|b
B|So I just, I really have been going to the library and getting my ten books out and they just love to sit and read. And now finally the littlest one is oldest to, to sit, you know, and watch the pictures instead of grabbing it and trying,  to rip the pages out.|sd sd sd
A|right. Uh , well,|b %
B|So, that, that has been fun to do do that you,  know, go through the children's literature,  and, uh  uh,|sv
A|Yeah. I read,  THE PUBLISHER'S WEEKLY, uh, which lists all the upcoming books, forthcoming books, and,  uh, there are so many that look like they would just be absolutely wonderful.|b sd sv
B|Uh-huh.|b
A|But I was tickled to see that some publisher is, uh, reprinting the, the James Thurber books for children. THE,  WONDERFUL O and THE THIRTEEN CLOCKS, that have been out of print for about, oh, I think about twenty years.|sd
B|Oh, wonderful. Gosh. Really? Well, I'm going to have to,  look for those.|ba ba bh sd
A|Well,  I had those for my kids|sd
B|Yeah.|%
A|and they really did, enjoy them.|sd
B|Oh.|b
A|Oh, but they were, old copies then.|sd
B|Yeah. Yeah.|b b
A|I didn't buy them when my kids were little. And so, they probably were out of print all of, already when my kids were small. But, um, I, was really happy to see that,|sd sv sd
B|Yeah. Yeah.|b b
A|yeah, I guess it's in honor of his hundredth,|% sv
