A|Okay, well, I I mean, what thoughts do you have on the subject?|fo_o_fw_"_by_bc % qo
B|So, so you know, I, I would just as soon, an, an, and, if, if they voted to, for independence, I would back them a hundred percent. And that's,  that's, because, I, I guess, because I'm not into territorialism or whatever, that we have been in the past.|sd sd sd
A|Uh-huh. Right, right, I probably would say the something if I knew that intellectually that it was good and emotionally that the people there wanted it.|b aa aa sv fo_o_fw_"_by_bc
B|Right.|b
A|You know, it's just, um, I mean, right now they have the privilege of voting with the United States, don't they.|% qy
B|Yeah, yeah.|ny ny
A|They count, yeah, as a principle, that's what I thought. Um, but I've also been down there. We traveled a lot to the B V I, the British Virgin Islands.|sd sd sd sd
B|Oh, yes, uh-huh.|b b
A|So you always pass through San Juan in going to places like or .|sd
B|Uh-huh.|b
A|I, um, and it's just, it's, I think what they do need is an infusion of some of the United States, um, privileges, some of our resources. The educational, the teachers, the, um,  academic opportunity, you know,|% sv
B|Uh-huh.|b
A|I don't think we do do enough of a resource transfer, if there is such a thing.|sv
B|Part of that though has been, I think, uh, selected by, by them,  in that, that whereas they want the benefits of some of, of what the continentals can offer,|sv
A|Uh-huh.|b
B|they,  they want to maintain that, um, culture of theirs,  which, which I understand.|sv
A|Uh-huh. Uh, Uh-huh.|b % b
B|And, and so often when you, when you bring in the advantages, the resources and so forth, there, there is a trade.|sv
A|They'll lose their ethnicity as they say, yeah. That's,|bf % %
B|Most of the people who that that I know about who really, uh, would, favor statehood,  have pretty much assimilated into the, the continental states already.|sd
A|Uh-huh. See,|b %
B|Or they have family here and this way they can go back and forth and, and it's not that much of a strain, and,  you know, they're kind of lackadaisical about it.  At least at the present time.|sd sd sv
A|Uh-huh. Uh-huh.|b b
B|That's the way, the way the pendulum seems to be swinging, right now.|sv
A|It sounds like you probably know I mean to this day are you still in touch with any native Puerto Ricans that you have made friends with, or,|sv qy %
B|No, we really didn't keep that up, it's just,|nn sd %
A|No, that's natural, I just thought I'd ask that because I wondered what you thought they might think.|b sv sd
B|Um.|%
A|Because I really don't have any, um, personal or professional or familial ties down there. I don't know, the the, the, the, that's just children, but the, the people that I went to high school with, um, I think the majority are in that, the, probably the generation, yours and mine and the one right after us, that, um, their parents did not want to acclimate to the United States.  Um, in terms of retaining, um,|sd sv sv
B|Uh-huh.|b
A|and my background's European heritage and their background it would be, you know, the, I guess I would say the Latin or Latino heritage.|sd sv
B|Uh-huh.|b
A|Not speaking in English, um, having the children drive them everywhere, and these were not old people. These were like in their early forties.|sd sd
B|Um.|%
A|Um, and I always, that always bothered me and then there were some children that I noticed as soon as all the kids were out of high school, I mean they went back to Puerto Rico to live. You know, they had made enough money here.|sd sd sd
B|And so|%
A|But on the other hand, I guess it's all about choice in everything.|sv
B|Yeah.|b
A|Um, was it, I mean how were they toward, that's interesting the, the way, term you used continentals, which I'm sure is the proper term. How were they toward the United States in terms of just general, relationships, I mean, were they glad?|qy qo sv qo qy
B|There really were three major, um, camps,|^h
A|Uh-huh.|b
B|and there were those who, who, uh, were very friendly, very open, any, anything we can do for you, uh, uh, either way, you know, was great. And then there were those at the other end of the spectrum and those that, ho hum, whatever,  you know,|sd sv sd
A|Yeah.|b
B|and, and, uh, it, it was interesting, the whole time we were there it was very, very political. There was always some, on Sunday afternoons, uh, going through the, all the little urbanizations, the little neighborhoods with, uh,  blow horns, oh,|sv sd sd
A|Uh-huh.|b
B|I can't think of the term but, you know.|sd %
A|I know what you're talking about yeah.|sd %
B|And with banners and, and a parade of vehicles with their, with their colors of the,  of a particular party.|sd
A|Uh-huh.|b
B|So they were very, very, um, passionate,  about their beliefs|sv
A|Uh-huh.|b
B|but it, it, it kind of broke down that you couldn't really see, I couldn't see that there was a clear majority that, that stayed. It seemed to shift as, as,|sv sd sv
A|Yeah, I don't, I don't predict, what you're describing is actually a conflict, very hello, uh, you know what, I've got to go, because that's my cordless battery going.|b sd sv qy fo_o_fw_"_by_bc sd
B|Oh, oh, I see, okay|b aa
A|I'm sorry|fa
B|Well I have enjoyed it.|sd
A|I enjoyed talking to you and, uh, thank you for your time.|fc fc
B|Uh-huh.|fc
A|Okay, bye-bye|fc fc
B|Bye-bye.|fc
