A|Hi. How are you doing?|fp fp
B|But, you know, you, you get specialized education now, for instance, take computer science. We've got kids twenty years old, right now, that could beat any computer professor at micro computer applications. I know we could. And these people can't even get jobs doing anything besides digging ditches, because there's no comprehensive test that they can take, that would allow them to, to step into that position without having to go through the rigamarole of college.|sd sv sv sd
A|Yeah.|b
B|You know, I went to college late on in life and I realize that hey, it's nothing but four years of endurance and you might be teachable, you know what I mean?|sd sd sd ^g
A|Yeah.|ny
B|I mean, my agree is absolutely worthless. *listen; agree is probably degree It's my experience and, and my knowledge that, that is beneficial, but then, you know, like I said, I came in backwards.|sv sv sd
A|What did you get your degree at?|qw
B|Industrial Marketing.|sd
A|And what's your job now?|qw
B|Well, actually I'm selling computer software. But, the two are mutually exclusive. Because, the, the experience that got me the job that I got now, was my experience in the construction field, prior to going to college not my degree, which is I think kind of bizarre.|sd sd
A|Huh-uh. Maybe. All right, what else could we change? Oh, I'd like to see flexible hours. And teaching, shared, job sharing, more of that.|b aap_am % qo sd
B|Well uh, We've, we've, we've already got that.|sd
A|Well, see, we've got a little bit of it, but not much. It would be nice if you had full insurance coverage if you were doing job sharing. What else. I'd like to be able to, to evaluate your boss and it really carry some weight, and you get to choose your boss.|sd sv t1 sd sd sd
B|Well, yeah. Supervisor evaluations have always been a tough one. Especially in my line, because, you know, my supervisor has nothing to with my job, except to make sure I get my check.|% b sv
A|Huh-uh. Well, so you get to evaluate him though?|b qy
B|Well, not really. You know, I mean, there's, what's to evaluate about him, you know, I mean, my, my, supervisor level is like practically zero. I run the whole show. And when I need something, I tell my boss and he gets it for me, because he knows, that I know, what I'm doing.|ng qh sd sd sd sd
A|Yeah.|b
B|You know, and uh, that, that is something that I think needs to be expanded on, specially in the large market place. You know, the major corporation, because so often, you know, you get a guy who's got eight or nine or ten people working for him in separate areas so to speak.|sv
A|Yeah.|b
B|You know, it's, it's hard for me to, you know, especially since I'm in marketing sales, you know, I make more than my boss. Because he's salary and I'm not. I make as much as I earn. You know, if I don't make a sale, I don't make anything|sd sd sd sd
A|Huh-uh.|b
B|Yeah. Well it's tough, but, uh, you know, there are requirements, and quotas, what not, for me to make, but, um, the bottom line on, on that kind of thing is, you know, we have a lot of people, especially in major corporations, who aren't doing a damn thing. They're just there. You know, the work they do could be totally eliminated, and not that they aren't worth or not that they aren't trying or anything. But, it's just that their jobs are useless. Take, for instance, um, a large construction company I used to work for. Ed Swampers. Swampers is a guy, who's in the union. He's a laborer. And he's assigned to,|b sv sd sv sv sv sv ad sd sd sd
