A|Well, what's your views on it?|qo
B|Yeah. I think there'd, there'd be a, you know, a, uh, economic benefit for, you know, everyone concerned, those doing the work, and those receiving the, the, uh, the services.|b sv
A|Oh yeah, sure. Sure, I mean, I mean, the kids who would be giving the service are going to get a lot more out of it than just money.|b b aa sv
B|Yeah.|b
A|You know, that, I, I remember when I was a kid, I used to do little, little things for the old folks around the neighborhood, and, uh, I know how it made me feel. You know, you uh, people just don't help people anymore. They're, they're out for themselves and,|% sd sd % sv sv %
B|Yeah. I think, uh, President Bush covered that in his, uh, State of the Union Address this year when he said that, you know, it's time for, you know, the individuals to start thinking about what they can do to help each other out instead of counting on government to do everything.|b sd
A|Yeah, well that's, that's the, that's the point we've gotten to, you know. Every time somebody wants something they always turn to the government. And, the government's going to be limited. I, where are they going to get the money? They're going to get it from us. And we can do it a lot more efficiently than the government.|b sv sv sv qh sv sv
B|Yeah.|b
A|We don't need to add fourteen layers of bureaucracy to a program.|sv
B|Exactly.|aa
A|Um, the thing that Carter works on, uh, Habitats For Humanity, I was involved in that uh, in Montgomery, before I came up to North Carolina,|sd
B|Uh-huh|b
A|and, uh, it was, it was a pretty neat little program. We'd just go out, and they would buy a plot of land, and contractors and builders, and everybody else would donate their, their time, and, uh, the materials were at cost. And we'd put up houses. And, that was kind, that was kind of neat. I, uh, in a way, I think it's a little bit inefficient, but, but it's better than nothing.|sv sd sd sd sd sd sv sv sv
B|Yeah.|b
A|And, and at least I had the opportunity of seeing two families move into decent housing. Um, course, on the other hand, I can start complaining very loudly about people on public assistance who are quite capable of doing something for themselves, but just won't. Because it's far more advantageous for them to sit there and just draw, uh, welfare money than it is to work.|sd sv
B|Yes.|b
A|Uh, we did a, uh, a cost comparison in one of my courses, and we took all the benefits that a family, that a, a married couple with two kids would get under welfare, and what they would be making at minimum wage. And they came out four thousand dollars better a year, by taking welfare.|sd sd sd
B|Yes.|b
A|So there's no incentive for them to do anything. Far better for them to sit on their butts and draw the money.|sv sv
B|Yeah. One of the things they tried to push through in Maryland, and, uh, weren't very successful was that if you were an able-bodied person on welfare, you had to do some work.|b sd
A|You had to do something.|^2
B|And,|%
A|Yeah. and that's been tried, that was tried in Alabama too, and it got shot down.|b sd sd
B|Yeah.|b
A|I and I don't understand the reasoning for it. I really don't. It, it seems perfectly logical that if somebody's going to take public money, then they should return something to the public. I mean, if nothing else, go out along an interstate and pick up garbage.|sd sd sv sd
B|That's exactly what they were trying to get them to do.|sd
A|Yeah. What do they, what do they do in Maryland, do they use highway people or do they use prisoners?|b qw qy qrr
B|Um, both.|sd
A|Yeah. that's the way they did it in Alabama, too.|b sd
B|Yeah, they use both.|b sd
A|usually you'd see these big chain gangs out there, picking up trash.|sd
B|Uh, they have a, they have another program in Maryland that's called Adopt A Highway.|sd
A|Uh-huh, uh-huh. Yeah, we have that here in North Carolina.|b b b sd
