A|So I own a, a P C A T at my home.|fo_o_fw_"_by_bc
A|Yeah, the prices had plummeted, you can buy the computer the guts just the guts with the power supply,  the box and the mother board of a type of computer called an eighty, eighty-eight, for about two hundred dollars.|b sd sd
B|Uh-huh. Huh.|b b
A|And then the keyboard is another fifty, the monitor with the card that drives is another hundred and then the disk drive is two fifty.|sd sd sd
B|Well, what, what is a a good brand a inexpensive.|qy
A|Well, that's that's the deal is you're not buying brands now, you're buying these knock offs, so there's, probably the way to do it if you really wanted to buy one is there's a magazine called COMPUTER SHOPPER.|arp_nd sd % sd
B|Uh-huh.|b
A|It's a big magazine, it's twelve inches narrow, the narrow side and seventeen inches the tall side|sd sd
B|Oh, wow.|ba
A|and it's probably an inch thick a thousand pages. But the book is, the magazine is full of these mail order, computer mail-order houses and they're all competing with each.|sd sd sd
B|Uh-huh.|b
A|So you just flip through there until you find a eighty, eighty-eight computer that that's called, it's the original P C. So it's, we call the T I, I'm sorry an I B M P C compatible. And you'll find all these things and you'll find the monitors forty dollars and the card that drives the monitor that goes in the back of the board for twenty-five dollars which is amazing to me.|sd sd % sd sd
B|Uh.|b
A|And you mix and match and then you do it by mail-order. But there's no real brands it's probably a half a dozen companies around the world that are making those mother boards, the main computer, the circuit board.|sd sd sd sd
B|I see. How do you go about getting one of those a catalogs?|bk qo
A|They're available in, you know, the B Daltons, that that type of thing.|sd
B|Uh-huh.|b
A|You'll notice that in that it's, it's a, it's a, although it's a magazine it's large. And like I said it's about an inch thick|sd sd
B|Uh-huh, well, getting back to the P C I'll tell you, I ya, first of all I don't like a machine that's smarter than me. And secondly, I did learn this much about computers, they they are pretty stupid because they add one and one up and come up with ten. In binary.|b sd ^h % sd sd sd sd
A|That's right There's great.|aa ba
B|Well, anyway that's one ever my favorite jokes.|sd
A|Oh, yeah|b
B|One and one equals ten.|sd
A|Yeah, that's great.|b b
B|Course it's it's kind of an inside joke, you know.|sv
A|Yeah.|b
B|You can only tell that to somebody who understands binary.|sv
A|I understand, that's great, that's a good joke.|ba ba ba
B|So what, do you, uh, uh, work with a computers a at T I?|% qy
A|I did for years and then I was a scientist over in central research labs and just recently I've changed my job to actually do some of the marketing.|na sd sd
B|Uh-huh.|b
A|Uh, now I I type that one, but I don't use it anymore.|sd sd
B|Uh-huh, well I just recently started using one.  In connection with my work.|b sd
A|Uh-huh. Yes.|b b
B|Uh, I keep track of an inventory here.|sd
A|Uh-huh.|b
B|And of course now that is where a computer is very handy.|sv
A|Yes, I agree.|aa aa
B|And, well I, it's my responsibility to see that equipment is sent off to be calibrated.|sd
A|Oh, yeah.|b
B|See I'm with the Q R A lab. Qualification and evaluation|sd
A|Oh, I see that's fascinating.|b ba
B|so naturally our equipment has to be in top condition and is constantly calibrated,|sd
A|Uh-huh.|b
B|and they're dated. So I have to keep up with them, uh, and and it's very handy doing it on the computer.|sd sd sd
A|Yeah.|b
B|I just run a printout every week and and it puts me right up-to-date what I'm, what I have to do, what I have to ship, what I should be expecting to be returned.|sd sd
A|Uh-huh.|b
B|So a, it it is handy.|% sd
A|Right.|b
B|And I must admit that up until I did start using one, uh, it was, I had very little interest in computers.|sd
A|Yes|b
B|But they are amazing.|sv
A|Yeah, they certainly are. So let's see, see so I guess with respect to the question, yeah, I guess we've kind of covered it.|aa aa ^h sv % sv
B|I think we did.|aa
A|Great, nice little conversation with you Jack.|ba fc
B|Yeah, Mike you take care now.|fc fc
A|Good day.|fc
B|Good luck to you.|fc
A|Thank you. Same to you.|fc fc
