B|Um, all right.|fo_o_fw_"_by_bc
A|And, uh, he ate his dinner and he was asleep in his chair because he was exhausted.|sd sd
B|Right.|b
A|So, now the young fathers are having a chance to parent, and I think, that's an advantage.|sv sv
B|And they enjoy it. Yeah. And they do enjoy it. I, I see,|^2 aa sv sd
A|Uh-huh.|b
B|you're right. I see many more men in the supermarket, in the parks with their children,|aa sd
A|Uh-huh, uh-huh.|b b
B|and I think that is healthy because|sv
A|And I think it's a, a wonderful advantage for the young, for the, for the, particularly for the males, for the little boys to have, a relationship with their father,|sv
B|Right. Oh, yeah.|aa aa
A|and, and I don't, think you, we get into so much of the mother dominating figure, if, if the father has more input there.|sv
B|Yes. Yeah.|aa b
A|But, uh, I don't understand why the young girls feel like they have to build roads, and they have to, that kind of job, uh, to go out there and shovel that tar and, and drive those big trucks. And we just recently finished a long drive through the west, a little over five thousand miles,|sv sd sd
B|Uh-huh.|b
A|and at one point we sat down, uh, I didn't realize it, but I sat at a counter to have a cup of coffee that happened to be for truck drivers only.|sd sd sd
B|Uh-huh.|b
A|And here's this young girl with the tattoos and she has just, had just driven a load of meat from Minneapolis to some place in Arizona,|sd sd
B|Uh-huh.|b
A|and she'd been, and I ask her how old she was and she was the between the age of our daughters and she had been driving, a truck for seven years.|sd sd sd sd
B|Uh-huh.|b
A|And I thought, gosh, I mean, why would a woman choose that rough and tumble life-style when,|sd sv
B|Yeah.|b
A|I guess I'm I'm maybe Victorian and my husband is a little bit of a male chauvinist, in that, he's a very considerate person, but he also thinks a woman should be taken care of and, and in the home, and she should vote, but after she talks to her husband about how she ought to vote.|sv sv sv sd sd sd
B|Oh, boy <laughter>.|ba
A|Now it probably doesn't work that way in our household because I have strong opinions about things, too,|sd
B|Yeah.|b
A|but, uh, I like being taken care of. I like my luggage, carried and, my door opened,|sd sd
B|Well,|h
A|and I think the young women are losing that and I think that's sad.|sv sv
B|well, that, that's true. There is that part, too, and I guess we also have to examine though and although your husband's probably been as much conditioned as, you know, anybody else,|aa sv sv sv
A|He was raised in the south,|sd
B|um,|b
A|I think that's a little condition,|sv
B|I guess ha-,|%
A|both.|%
B|Oh, oh, yeah. And, and you have to, I guess you have to question too, why a lot of the men, especially, I think middle age and older men, why they feel that way and, and I think it gets scary for them to see change, also. They've been used to being, really to be honest, in, in society, and in a way, number one, and they come home and everything's done for them.|b sv sv sv sd sd
A|Uh-huh. Huh.|b b
B|And their meal is served and I think it's frightening to them to see the roles switching.|sd sv
A|Sure.|aa
B|And I think, I think this reaction comes more out of fear. Now, my husband is, um, he's ten years older than me, and, but he has, his attitudes are very much pro-women, pro-career, which is kind of interesting.|sv sd % sv
A|Uh-huh.|b
B|He comes from a culture where women are, stay at home and do everything,|sd
A|Uh-huh.|b
B|um, and yet, um, he's the type that he is willing to have to take on more responsibility, um, if that meant, oor you know, for me to be able to, uh, uh, advance or go back to work or whatever. I'm kind of more, alking to someone in background, thank you, esumes talking to speaker A I'm kind of more middle of the road. I think that when children are small, I think it's okay for women to work especially, there should be some, a lot more part time, but I think it's, um, I don't believe in this career, you know, this career drive when, when they're small, because I think,|sd sd t3 sd sv sv sv sv
A|Uh-huh.|b
B|alking to someone in background, they're downstairs esumes talking to A I think that's very, um, unfair to, to children, like, uh, engineers usually work fifty or sixty hours a week,|t3 sv sd
A|Uh-huh. Huh. Huh.|b b b
B|I refused to work more than thirty.|sd
A|Uh-huh.|b
B|I was part-time and even that was a rat race,|sd sv
A|Huh.|b
B|but I think you have to put in perspective, that, you know, when the kids came home from school, I wanted to be here. I didn't want, I don't want a job where I'm traveling around and I'm away and, uh, so I think you can have both. It's more hectic, but I think you have to put into perspective what your kids need, first then|sv sd sv sv sv
A|I think a lot of, my problem with the young mothers ...|sv
