A|Okay, what kind of hobbies do you have?|fo_o_fw_"_by_bc qo
A|Yeah, I like both, but since I'm in an apartment, I just, I don't think an apartment is big enough for a dog. Dogs, to me, dogs need a yard, even little dogs.|b sd sv sv
B|Uh-huh.|b
A|They just need a yard. Cats can deal with being inside all the time just fine. But I just think dogs need, need to be outside, though. So,|sv sv sv %
B|I agree with you. I, if we were going to get anything now it would definitely be a cat, or even a bird or a fish tank or something, you know Something small|aa % sd
A|Yeah, now that's an idea with the small babies.|b ba %
B|that she can watch, but won't take too much care.|sd
A|Yeah, because, you kind of, even, even a cat, you never know when they might bite or scratch or something.|b % sv
B|Uh-huh.|b
A|There not as likely to as a dog might, I guess. But with little ones, I'd be kind of scared to get anything that has teeth or claws.|sv sd
B|Especially when they're not quite to the age of understanding that they're hurting, you know, that they grab hold with both hands and then just jerk.|sv % sv
A|Oh yeah.|b
B|And if I was a cat or dog, I'd respond probably by biting or something. I don't know.|sd h
A|Oh, yeah|b
B|That'd be my self defense. But, Well, I think we probably reached our time limit.|sd fc
A|Uh-huh Yeah, probably so, and I'm out of, out of good ideas for a hobby anyway.|fc fc fc fc
B|Oh, okay.|fc
A|Well it was good talking to you.|fc
B|Thank you for calling.|fc
A|All right. Bye-bye.|fc fc
B|Bye-bye.|fc
