A|I'll let you go first.|ad
A|And so that, the, you know, one of the things I heard proposed on, uh, one of the public radio stations up here was that we should go back to teaching children at their own speed. Some|sd
B|Yeah,|b
A|Yeah.|b
B|they can't keep force feeding things to each other and, or, you know, at the kids.|sv
A|And, and, uh, and on top of that they, they make the child feel inferior, because he's not as good as another kid his same age.|sv
B|Uh-huh, because he can't do it.|b ^2
A|I mean, it's like, you know, that's ridiculous.|sv
B|And it's not that he can't do it, he just can't do it quite as fast, or,|sv sv %
A|Yeah, and, uh, you know, I have, uh, I, I have five children total,|b sd
B|Yeah.|b
A|and I've got two out of the house already and I I have two that are in, uh, eighth grade this year.|sd sd
B|All right.|b
A|And prior to their, um, when I, when they were in elementary school they were identified as being slow.|sd sd
B|Yeah.|b
A|And so they put them into special programs and then we actually held them back in fourth grade.|sd sd
B|Um.|%
A|And it wasn't until the last two years, um, last year my, uh, they're they're a set of twins, um, a boy and a girl.|sd % sd
B|Uh-huh.|b
A|Last year the, the, uh, boy twin started doing real well.|sd
B|All right.|b
A|And it, it, everything started to click in for him and he knew what he needed to do. Um, and this year it, it happened for, uh, for the daughter.|sd sd sd
B|Um, all right.|b
A|She just has been, really doing great this year|sd
B|Jumped on out there.|^2
A|and she has the right attitude towards school and everything.|sd
B|That's good.|ba
A|And I think it's just a matter of everybody has to find their own path. I remember when I was in school, I did horrible up until about, yeah, about the seventh, eighth grade|sv sd
B|Yeah, I did too, up until ninth or tenth grade.|b sd
A|I, I, I started to, to come around and realize an, and basically I got interested in math, and, uh, never really did well in english|sd sd
B|Yeah.|b
A|but, you know once you got interested in something and things started to click in place then after that you take off.|sv
B|Yeah, and see when I was a kid growing up and going to high school if I wanted to take a little electronics course, I had a electronics course I could take, but we lived out in the country,|b sd sd
A|Uh-huh.|b
B|and we didn't have all that fancy stuff to worry about, you know, we had our auto shop out there and our ag shop and, and, you know, we had just about every thing that we needed|sd sd sd
A|Yeah.|b
B|but they don't have it anymore. There's a lot of things that they don't do in school anymore. our oldest boy goes to Lubbock High down here and they go to school four and half days a week, so. That's pretty weird.|sd sd sd sd sv
A|Gee. Yeah it is, um, my children had a, uh, real culture shock, uh, when we lived in Plano, I guess, I don't know if you've heard about the Plano school district, but. they're uh, they really stress academics there.|ba aa sv sd qy^d sd
B|No. Uh-huh.|nn b
A|And, uh, God, if your child is not an honor student, well then, you're, something wrong with you as a parent.|sd
B|Gee.|ba
A|And that's kind of the way they are there.|sd
B|Yeah.|b
A|And, uh, when we moved back to Maryland, um, I moved to a, uh, a, Baltimore County which is a northern county in Maryland,|sd
B|Uh-huh.|b
A|and it's basically a rural county, once you get above about the half way point.|sd
B|Yeah.|b
A|And we lived, you know, in the northern part of the county. Uh, we went from a, uh, middle school in Texas that served fifty-five square blocks to a, uh, middle school in Maryland that served fifty-five square miles.|sd sd
B|Yeah.|b
A|And it was just a complete culture shock, because I mean, they, they're riding on the bus in the morning with, uh, other kids that, you know, are a sleep because they got up at three o'clock and were doing chores|sv
B|I can imagine.|ba
A|and, they you know,|%
B|Yeah that would be quite a shock.|b sv
A|it's, and they had, uh, ag, they had an ag course, uh, I forget what it was called, uh, but it goes along the, the lines of industrial arts, but it's, agricultural.|% sd sd sd sd sd
B|Uh-huh.|b
A|And where they had to raise a small animal.|sd
B|Oh, like, Four H then.|bf
A|Had to learn how to drive a tractor.|sd
B|All right.|b
A|They actually had to take a driving test on the tractor, I mean, they just couldn't believe this and it was great. They loved it.|sd sd sv sd
B|All right.|b
A|I mean they really enjoyed the courses, um, and it, you know, it made school fun for them again because prior to that school was just a big pain, a drain.|sd sv
B|Yeah, just something you do everyday.|b bf
A|Yeah, and it was, you know. It was like, kind of like the way we feel about going to work|aa % sv
B|Yeah, yeah, just something I have to do everyday.|b b bf
A|But, uh, up here they seem to have made it, uh, a lot of fun for them and they, they seem to really enjoy it.|sv sv
B|That's good, our oldest boy went into school politics and made vice ...|ba sd
