B|There you go. First question, do you own your house?|fo_o_fw_"_by_bc sd qy
B|I think it was sixty, eighty.|ar
A|Sixty, eighty.|b^m
B|I think.|h
A|Well because, I know our, our little house over here stuck in the middle of, you know, the subdivision is, I think fifty five, so, I think the high end is definitely, you know somewhere there|sd sv
B|Well, try and think if it was a hundred dollars a square foot No, it could not be, because this house has around thirty four hundred square feet, and it would never sell for three hundred forty thousand dollars.|ad ar sv sd sv
A|Yeah.|b
B|Just never.|sv
A|Well|%
B|Now, maybe, you know, that's pretty close to what it would have sold for, uh, brand new, or that's pretty much what it was built for. It's got an awful lot of nice things in it but, you know, I don't think, I think it's going to be a long time, if ever, when nice things and really quality construction and all the other additional amenities are really, uh, desirable. It's seems like people go for square footage only now|sv sv sd sv sv
A|Yeah.|b
B|and, uh, cause. Have you been back to the Perry Homes, back here?|qy
A|Um, the ones that look like brick houses|br
B|The one that looks like Monopoly apartments.|sd
A|Right. Yeah, I think those are awful. I'm sorry, I just don't see the designer's, I just see him as trying to squish as much space, you know, as much house into the space as possible.|b ny sv fa sd sd
B|They are huge when you are inside them.|sd
A|Yeah.|b
B|They are very spacious. They are, you know, I was, I was in one today. It was forty two hundred square feet.|sd % sd sd
A|Uh.|b
B|Yeah. Uh-huh.|b b
A|Well see that's, the house that we got is small enough so my husband and I, because there's just the two of us and the two cats, um, can yell at each other from one end to the other and be heard. And we thought that was important instead of getting swallowed up in something that you know.|% sd sd sd sd
B|See, when you have kids, you like to be able to, send them some place where they can yell and you won't hear them.|sv
A|Yeah, that's true.|aa aa
B|But, I have been watching these houses go up and I, I don't, well, somebody was telling me, I know somebody who lives back there, I have always questioned the quality of construction and I, I don't think they exceed more than twelve nails per house.|sd % sd sd sd sv
A|Oh.|b
B|When you watch them go up, you are just amazed that they do not fall over.|sv
A|Yeah.|b
B|And it takes them something like, thirty days to complete a house.|sd
A|Oh, that's amazing. Right now, in fact, even as we speak, we are having a deck put on in back, and these guys are phenomenal. They just, they, they are doing such a terrific job back there, I mean, you know, you pay for it too, but it's, it's like, really worth it. They are putting in a deck, a redwood deck,|ba sd sd sd sd sd sd
B|Uh-huh.|b
A|and it's just, they are doing such a fine, fine job.|sd
B|We have got three different levels of decking, because, this lot slopes way back down|sd
A|I'm really excited about it, Uh-huh.|sd b
B|and, uh, the house is built around the trees.|sd
A|Great.|ba
B|And with these decking that a corporation and a large area for the trees to come up so, it's real, real shady. But, that's one of the few things that really, uh, immediately pays back on return. But, what I was going to tell you, these Perry Homes back there,|sd sd sd sd
A|Yeah.|b
B|when the people from M C I come down and they are, you know, they are used to the Virginia area, metropolitan D C.|sd sd
A|Uh.|b
B|My God, they come down here and those houses, that, that look the colonial look what the,|sd
A|Looks like the George Town brownstone|bf
B|Right,|aa
A|Yeah.|b
B|And, uh, the idea of ever owning anything that has four thousand square feet in it, for less than two hundred twenty thousand dollars,  which is probably about what their equity is, that they got out of selling their house.|sv
A|Must be a dream. Yeah.|^2 b
B|Because those things are selling like hot cakes. But, one of the people that was living back there was telling me that there is his air conditioning bill, per month, last summer was in excess of five hundred dollars  a month.|sd sd
A|Oh.|b
B|And I thought,|%
A|I can't ,|ba
B|and he was talking about how you keep up with the utilities here. And I was thinking, well, you know, I know why your God damn bill is so high,|sd sd
A|He has no insulation, probably.|sv
B|it's because there's not a there's no insulation, insulation in those things.|sd
A|Oh, my.|ba
B|Yeah.|b
A|Gosh. What a trap. Huh.|ba bh
B|Any yet, you know, they, they show very well they show very well unless you have, you know, lived in a lot of houses around the area, or looked at a lot of houses around here.|% sd
A|And you ask the right questions and can research, yeah. Yeah.|sd b b
B|And I think that makes a big difference. But, I like, I like this area and everything that I have been saying,  says that it's,|sv sd sd
A|Oh, I do too.|sd
B|I think if we had to sell now, we could come close to breaking even|sv
A|But, still, um, it's worth it for the area and for the school and things like that|sv
B|You're in, you're in the,|%
