A|Okay, well what do you think?|fo_o_fw_"_by_bc qo
B|And, and the people who want it, it's not that big a deal, like I say, to wait.|sv
A|Right . Right. And, if you have to have it in a hurry, something's wrong|aa aa sv
B|Yeah, it makes you wonder, what they need it for all of a sudden here. Um,|aa sv
A|That's right. That's right.|aa aa
B|Oh.|b
A|Well, I'm married to a policeman, so we, we talk about this a lot|sd sd
B|Yeah, I, I imagine his, his opinion is a little bit towards the one there,  on the scale of one to ten he needs some more.|b qy^d
A|Yeah. Yeah. Yeah. I was watching a,|b b ny sd
B|Gosh, if I was a cop I would be,|ba sd
A|worried about that.|^2
B|Too many people have too many, too much access.|sv
A|Yeah, they do. They do.|aa aa aa
B|and, I guess I think, the other thing that we ought to control to some extent is, there should be some law against the types of I mean, some of these Saturday night specials that these companies put out,  that are , I mean, they're are|sv sv
A|Right.|b
B|basically it says here buy me and go rob a seven eleven|sv
A|right or even even the um the little um toy guns look real. I mean|aa sv %
B|yes they that's really gotten bad|aa sv
A|I've heard so much about that on TV and that's kind of scary to think that you may be shot for holding one.|sd sv
B|Or your child accidently.|sv
A|Yeah.|b
B|If your child is old enough, I mean, there are a lot of kids who when they're ten look like they're twelve,  or fourteen or, and, and, especially some of the minority children. Whether, you know a racist or not,|sv sv
A|Right. Uh-huh.|b b
B|that's the truth. And, And if some of them are doing something that they shouldn't be and then they have one of those toy guns in their hands and a cop comes up,|sv sv sv
A|Right. I mean, you can't blame them. It looks like they've got a weapon.|aa sv sv
B|You can't , Jeez and you can't take the chances.|sv sv
A|That's right,|aa
B|Because there's been kids that age who have killed people.|sv
A|Exactly.|aa
B|And, you know, you know, there was a law in, I think it's in Oregon, where they've now made all toy guns, they're making them neon colors.|sd sd
A|Right and I think, that's a good idea.|b sv
B|You know like, yeah, and the kids don't care.|b sv
A|That's right.|aa
B|My kid didn't care.|sd
A|I know.|aa
B|He picks up a stick and goes bang.|sd
A|Right, right.|b b
B|It doesn't make any difference to him.|sd
A|A gun is a gun to them.|sv
B|Yeah .|b
A|They can play with anything and make it a gun. That's exactly right.|sv aa
B|Yeah, so you like to do, I think they ought to do that with toy guns, they ought to make them very reasonably  do something outrageous to them.|aa % sv sv
A|Right. Right. Exactly.|b aa aa
B|You know, so that they're not very distinguishable from a real gun.|sv
A|That's right. That's a good idea. I was, uh, watching T V yesterday and there is a town in Georgia, and it's the law that you have a gun, every adult, you know, uh, is able to carry a gun, and,  and they encourage it.|aa ba sd sd sd sd sd
B|That's kind of , They encourage it?|sv qy
A|Yeah. And, the police love it. Which really surprised me|ny sd sd
B|Um.|b
A|and, and, I think, and that's what they were going after, uh, they went to interview this town, I mean it's a little dinky town, they went to interview them about the gun control laws and, uh, the police said, all the people said, that's fine we could care less. You know, we're all honest, and everything like, that,|sd sd sd sd ^q
B|Huh.|b
A|we, we all carry them, but we, we don't mind being checked. And, uh, and I think it kind of took that uh, neatness away from it, you know, like, well heck, everybody's got one, you know and, So, it was, it was quite unusual to see the people in that town.|^q ^q sv sv sd
B|I don't know. I, That's kind of an odd thing. I don't know, I have a gun and, uh, my folks have always had. I learned to shoot when I was real little.|h % ba h sd sd sd
A|Uh-huh.|b
B|I think that's a lot of it too, is that people need to teach their kids,  what not to, what to do and what not to do.|sv
A|Right. Exactly.|b aa
B|Because I started shooting, my Dad started letting me shoot like a little air B B gun,  when I was probably five or six years old.|sd
A|Uh-huh. Yeah.|b b
B|But, you know, it was, this is how you hold it, this is the only place that you do it, which, was,  you know out far and away|% ^q sd
A|Right.|b
B|and you don't ever touch it unless I'm here, and you don't  you don't point it at people,|^q ^q
A|That's what we're doing.|sd
B|and then they had, then they went to the Texas Parks and Recreation, I guess, but anyway the hunter safety program, that you have to do now.|% sd sd
A|Oh, yeah.|b
B|I think it started in about nineteen seventy.|sd
A|Oh.|b
B|If you want, if you want to go deer hunting and your birthday's after nineteen something, fifty-five or something, then you have to attend one of these hunter safety courses|sd sd
A|Uh-huh. Well, that's neat.|b ba
B|or you can't get a deer license.|sd
A|Well, that's real neat.|ba
B|And it, and it, it's basic stuff, it's like, it's don't, you know, when you're climbing over a barbed wire fence, don't point, lean your gun against it, you know,|sd sd
A|Yeah.|b
B|and then you crawl over it, and shoot yourself.|^q
A|Right.|b
B|And, uh, those things happen.|sv
A|Well, that's real good.|ba
B|It, it is always incredible to me the number of times those kind of stupid accidents happen to people.|sd
A|Right. Right. And they usually are real basic,  common sense things.|aa aa sv
B|Yeah, put the safety on the gun. Don't assume, always assume it's loaded. That's, that's got to be the most common thing that people,|aa sd sd sv
A|I know and people don't want to believe that.|aa sv
B|Yeah. It's, oh, it's empty, it's empty. Boom!|aa ^q ^q ^q
A|Yeah, well see I,|b %
B|I took the clip out, or whatever and I forgot about the one in the chamber Oh.|sd sd b
A|Yeah, well we, we're trying to teach our daughter. She knows real well about, uh, about her Daddy's guns,  what not to do and what to do around them.|b sd sd
B|Oh, yeah. Does he got them locked up all the time too? When he's ,|b qh %
A|Yeah, um, and, and she, and she's real, um, she'll know, she'll even tell her friends, don't ever, touch my Daddy's guns or something like that.|b sd % sd
B|Don't even think about it, yeah. Yeah.|^2 % b
A|So, she's real, she's real good about it. And, she's never been curious,|sd sd
B|Um.|b
A|I mean, cause he's always, you know, if he has them out, cleaning them, you know, she can be there and he'll tell how he's doing it or, you know, show her the insides or stuff like that.|sd sd sd
B|Yeah, if you make it where it's not something,  Curious,|b sv
A|to be feared and,|^2 %
B|not something to be curious about and not something to be totally scared about.|sv
A|Right, exactly.|aa aa
B|If it, if it's just one more piece of something, but they, but they've got to understand, like you said, never touch it.|sv sv
A|Right, they'd have that respect for what it does,  and what it can do.|aa sv
B|Yeah. Ours is a, we have a shotgun, and it's up in the closet,|b % sd sd
A|Uh-huh.|b
B|and then the shells are in another part and it's something to think about, and I got it because my husband used to travel, and be out, he was out of the country at one time for three months.|sd sv sd sd
A|Oh, yeah.|b
B|And, I was like, I live in a nice neighborhood, but still,|sd %
A|still|b^m
B|and then I've got it so far, sometimes I think, I wonder if I, I'm not about to load it because I, you know, I assume that the kids are not going to ever get up there,|sd sd
A|Uh-huh.|b
B|and it's in a case, and it's, you know, it's put up and it's away and all that,|sd sd sd
A|Right.|b
B|but, I don't want to take the chance and, I think, if somebody ever does break in, it's going to take me a year to find the shells, and then get it,|sd sd
A|He's got to go to a lot of trouble. Yeah. hold on, hold on|^2 b ^q ^q
B|Yeah.|b
A|He's in here somewhere, I know he is.|^q ^q
B|Right.|b
A|Yeah. Well, I know how to use one. We, we go hunting every once in a while and he showed me how to use his guns and I really enjoy it but, boy if someone did break in, I don't, I don't know that I could or would even grab it|b sd sd sd sd sd
B|I know, I, I used to think about that, it was a lot easier when I was, when I was single, it was one thing and when I was just married with no kids, when it was just me, it was an easy decision.|aa sd sd sd sd
A|Uh-huh. That's true. Yeah.|aa aa b
B|It was like, you, you come after me, you're going to get it. you know,|sd
A|Yes,|b
B|and now there's so many other things, where are the kids, what are they doing, you know, where is this person coming in from,|sd
A|Yeah. Right.|b b
B|uh, you've got, and, and, if, if you manage to get it out and then, you know, what, how can you even afford to, to think about what, what you're going to do because you don't know where your kids are, at the same time.|% % sv
A|True. True, well we, we have dogs that are pretty, you know, very protective, you know|ba ba sd
B|Ugh. We feel if they make enough noise that,|b sv
A|Yeah, if they're stupid enough to come through then|aa sv
B|Yeah. It, it, we have two big dogs in the backyard, and always kind of thought that too, kind of an extra buffer.|aa % sd
A|Yeah. Yeah. They've got to be pretty stupid, and, and most people that, uh, break in or whatever, go to houses without the dogs, luckily.|b aa sv sv
B|Yeah. Anything, that the, well any, any advantage that they can take.|b % sv
A|Right. And, that's one of them so,|b sv %
B|Unfortunately, yeah.|aa aa
A|Well,|%
B|Guess it makes it worth the dog food over the years|sv
A|Yeah. Really does. Well, do you think we've,|aa aa fc
B|Yeah, I, I think that's about all I can,|fc fc
A|Me too, on gun control.|fc
B|We, we're in pretty good agreement actually on it.|fc
A|Yeah. I think we are.|fc fc
B|It would be an interesting, it would be even more interesting you, you to be some of these people who are at the other end of the spectrum.|fc
A|Right. Right. I'm glad you're not|fc fc fc
B|Me too. I'm glad to find there's another reasonable person in Garland.|fc fc
A|Okay. Well good!|fc fc
B|Well, it's been nice talking to you.|fc
A|You too, thanks. Bye-bye.|fc fc fc
B|Bye-bye.|fc
