A|All right, uh, you have pets, I understand, a couple of them.|fo_o_fw_"_by_bc qy^d
A|and, uh, everybody was used to him and they just loved him and what not and this his roommate put him out one day and Dan didn't know it and it got dark and he didn't get him in again. And they searched and searched and searched for him but, uh, uh, it got too cold up there and he, he died in a tree. they found him the next day in a tree, but.|sd sd sd sd sd sd sd sd sd sd %
B|Oh, oh my.|ba
A|So you you have to be pretty tender with them, we had a, he had his own heat lamp and, uh, and, uh, hot pad he laid on, you know. That was another funny thing, he had a hot pad and it, it burned up one time and boy, it was, that was funny too, watching him kind of burned up but anyway.|sd sd sd sd sd sd h
B|Uh.|%
A|An we got him a new one, he had a blue one before and when we got him a new one it was brown and he wouldn't lay on it until we changed the covers.|sd sd sd sd
B|Oh, really,|bh
A|No, he wouldn't lay on it.|nn sd
B|because that was like what he was used to.|bf
A|so they really are, they really pick up things. He was, he was a clean animal, uh, we, he went to the bathroom in the bathroom.|sv sd sd
B|How did he do that?|qw
A|well we put some papers on the floor, underneath the john|sd
B|Okay.|bk
A|and he went there to go to the bathroom. You had to be sure you left the doors open, you know, he didn't like to go anywhere else, he'd, he'd scratch and do all kinds of things to get you to open the door, if you happened to close it on him or something, you know, but, but even when he went, when he had an accident or something, uh,|sd sd sd sd sd
B|Oh, no.|ba
A|if you just let it dry, it dries kind of like, uh, especially when he was inside and just eating lettuce, it dried up a little bit like ashes and you could just vacuum it up.|sd sd sd
B|Oh my goodness.|ba
A|In the winter time there was no smell at all, no odor at all to it. And in the summertime when he was outside and eating outside the smell was a little bit like a cat, you know.|sd sd
B|Oh, yeah.|b
A|But, uh.|%
B|But that, that's incredible. It's a different little things,|sv sv
A|Yeah, he is, he was a really interesting animal.|b sd
B|Oh, that's,|%
A|I, I just, uh we just really and you know, to this day I still miss him and that's been years ago.|% sd sd
B|Well see, I guess it's because you lived with, you know, him an, and overcame some fears to get used to him.|sv
A|Yeah, he was just, Yeah, yeah, I think, I guess so. But it's, it was interesting.|aa sd aa aa sv sv
B|Yeah|b
A|Well, what do your cats do besides sitting and purring and letting you pet them|qw
B|Oh, my goodness, these guys, they, well actually they're my husband's pets.|^h
A|Yeah, Oh, and you just kind of took them, over, huh.|b bf
B|Well, well actually it's like he's the cat person you know, and I've, I was always kind of nondescript in that category because I always liked dogs.|sd sd
A|Uh-huh, uh-huh.|b b
B|And they've kind of taken over and, and, uh, you know.|sd %
A|A little bit easier to have cats in this kind of country, though isn't it, uh. I think,|qy sv
B|Maybe it is, I, they're so independent, well I'm glad we have two of them, otherwise, I think they get neurotic if there just one of them.|no % sv sv
A|Yeah, that could be, could be.|aa aap_am
B|They get real crazy. But there, brother and sister from the same litter. They look totally different, they are, they are, well they are Siamese cats,|sd sd sd sd
A|Oh, pretty ones.|ba
B|but one is, one is, uh, um, they're both registered, you know, one's a seal point, she's the little girl and then, uh, Newhart is the, uh, the, the,|% sd sd sd sd
A|Newhart,|b^m
B|he is something. He's like a dog, he really, he just he just wants his belly scratched and that's it, you know. And he's just the warmest thing in the wintertime,|sd sd sd sd sd
A|Yeah,|b
B|he just sits on your lap, sits on your lap, but they're like seven ...|sd sd
