B|What do you think about it?|qo
A|Oh, my word.|ba
B|and I think that's the only reason I have a problem with it, when there's no, you know, there's no reason to suspect someone, you know.|sv
A|Control.|bf
B|That, that's getting a little bit, that's enough to make anybody paranoid|sv sv
A|Right. Well, as long as you accept that it is a random, a random testing uh, you know, to, to alleviate,|aa sv
B|Yeah.|b
A|that way you can't feel like somebody's out to get me.|sv
B|Right.|b
A|If, it's almost like being selected for jury duty|% sv
B|Yeah.|b
A|You know, so your name came out of pot when they spun the wheel, that's, that's just the way it is.|sd sv
B|Either just the lucky or the unlucky one, depending on how you look at it.|sv
A|I would, I would rather have it that way, to know that I was chosen at random by a computer than to think that somebody turned me in because I, I think there's, when you let other employees turn in people,|sv
B|Oh, absolutely, There are so many people with, with their petty axes to grind|aa sv
A|Right.|aa
B|it could really get out of hand.|sv
A|Right. So, I, I, I would really rather know, however, there's got to be some backup to say that if, if somebody does observe you at, say at a party, uh, using drugs I would think that it would be their obligation to report that.|aa sd % sv
B|Yeah. To report it, and I guess you'd report that to a supervisor, maybe anonymously or something because I, I would feel very uncomfortable working with someone I knew was using either illegal drugs or abusing alcohol,|b bf sd
A|Personnel, or something, Right.|^2 aa
B|I'd just I'd feel really uncomfortable.|sd
A|Right. Right. I don't know what kind of work you do, but there, there would be, even be a situation where you were at a machine and working with somebody that was that way.|aa aa sd sv
B|Yeah, we have, we have a lot of people who work on the line. I'm in accounting, so it wouldn't, you know they couldn't hurt me with their ten key or something,|b sd sd % sd
A|Right.|b
B|but out on the line, they've got people working some serious equipment.|sd
A|Right. Right.|b b
B|So.|%
A|It's, it's, I, I just think employers have to have, especially given today, the drug abuse that goes on, I just think employers have to have some kind of way to see that they're not being put at Because they're the ones who are going to have the lawsuits, the insurance claims, et cetera,|% sv
B|Put at risk. I agree totally.|^2 aa
A|and, and I'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse.|sv
B|And in the long run, we're all paying for that|sv
A|Right.|b
B|so it, I mean, it protects us in the long run hopefully when they do that.|sv
A|Right.|b
B|I, I was trying to remember, there was a court case, uh, here where I live, just a few months ago. The city workers, they wanted to, um, the city government wanted to institute the random drug testing|sd % sd
A|Uh.|b
B|and the city workers, uh, took them to court to protest, saying that it invaded their, I guess, first the, the search and seizure amendment|sd
A|Uh-huh, uh-huh.|b b
B|and it's still tied up in the legal channels. They haven't ruled on whether they can test them or not.|sd sd
A|Huh.|b
B|So I'm curious especially since T I a local, you know, employer is also already doing it, seeing what they'll say about it especially since,|sd
A|To see how that's, Is it, is it, uh, just a small group of the employees that are concerned?|% qy
B|Well, it's the whole, it's the whole city, seems like the whole group of city employees that's raising a stink over it.|ng sd
A|They, they just don't want to be drug tested.|bf
B|Yeah. So.|aa %
A|You know, we've never, my husband and I have never been in a situation where somebody said you have to be drug tested.|sd
B|Yeah.|b
A|Uh, my husband's retired from I R S agents.|sd
B|Uh-huh.|b
A|However, this isn't a problem that we have either alcohol or drug,|sd
B|Right.|b
A|and so, we, we, in our minds we're thinking what's the big deal.|sd
B|Yeah, that's the way I looked at it. If I had something to hide, it's one thing, but I'm, you know, you know you don't, so it's not as big a deal, and you sometimes wonder when these people protest so much whether they're really concerned about their rights, or whether they're really concerned about something else.|aa aa sd % % sv sv
A|Right. And, and then they say, well, if you give them the right to do this, then they're going to take some other right away from you, but I, I|b sd %
B|I don't believe that.|sd
A|I think that an employer has the right to ask you to do anything, and, of course, the big deal, one of the big deals now, too, is to, that when you, come into a company, as you sign a paper saying that I will go take a,|sv sd
