B|You ready?|qy
A|And the whole theater was hysterical and it's just, it's just goofy. I mean, it's, uh, if you have a chance to rent it, at least, or it should be out on T V, I would think,|sd sv % ad sv
B|Yeah, I think it is. I think it is.|aa sv sv
A|Um, cause it's, it's just a fun summer light comedy, make your cheeks hurt laughing. Especially in the theater it was contagious, you know|sv sv sd
B|Yeah.|b
A|I, I imagine the way SOAPDISH was, but, with   everyone laughing.|sv
B|Oh gosh I never laughed. And people were just screaming and applauding and, you know, it was just hysterical.|ba sd sd sv
A|Well, I'm glad you did that before your surgery|sd
B|Oh, me too, because I don't even know if I could live through it now.|sd
A|Yeah|b
B|I mean I'm getting around real good and I'm just still real sore.|sd sd
A|Yeah.|b
B|And today I was, I, course I went back to work two weeks after, uh|sd
A|Oh, gosh.|ba
B|but see I don't have permanent work. I, right now I'm working with a temporary agency. And so, the second week I was out of the hospital I went up and worked half day on the computers cause you can learn all the software for free.|sd sd sd
A|Oh.|b
B|Oh, so I went up to do WordPerfect cause that seems like that's what everybody wants, and I was up there half a day and came home and collapsed.|sd sd
A|Yeah.|b
B|And then they called me to see if I wanted to work a day. And I said, yeah, and I went and of course it took me the whole weekend to recover from that. And, uh, I worked about three days a week ever since, two to three days a week. And so I went to my doctors last Thursday, and this was my fourth week checkup and he said well gosh, you're just healing really well, I just can't get over this. He says, in two weeks you can go back to doing your crazy normal things. If you want to play ball, you can go play ball. He says, now I'm not going to say you're going to feel like playing ball but you can if you want to.|sd sd sd sd sd sd sd sd ^q sd ^q sd ^q
A|Yeah|b
B|And, uh, you know, he was teasing me and he says, yeah, you'll be out there waterskiing, I can just see it now. And, uh, he says so you just take it easy for two more weeks. You've only got two more weeks. I said okay fine, I, I will, I will Whatever you call easy, I'll do it, you know. But and I've been out trying to find a job because this is just not cutting it.|sd sd ^q ^q sd ^q sd ^q sd
A|Yeah. Yeah|b b
B|And so, I don't, I'm real glad that we didn't go see those funny ones when I was, when I'm still sort of on the sore side.|sd
A|Yeah|b
B|But, well, what's your next, have you seen ROBIN HOOD yet?|% qw qy
A|No, that was one, uh, Jay got to see with a friend and so I|nn sd %
B|Uh.|%
A|and to try and, uh, try and find time it's hard, uh, with Jim's schedule, too, just to get a time that we can both go.|sd
B|Oh yeah.|b
A|And, uh, I'm holding out for CITY SLICKERS for the two of us because, uh, we had friends that went to see that and said, you know, it's just perfect for our age group|sd
B|Uh-huh.|b
A|and because I think he, he needs a comedy, too. Uh, and that's what he would have liked to have seen REGARDING HENRY, too, but knew that, uh, we've, we've got a lot of company this summer, which is wonderful. We're really enjoying it but some of the different things we're doing, uh  there's just not a time, enough time to do it all|sv sd % sv sd sd
B|Uh-huh.|b
A|and he said, well, realistically  You know, he knew he couldn't get them all in.|sd
B|Yeah.|b
A|But, uh, Jay really liked ROBIN HOOD. Um, when the choir group went to see BACKDRAFT and they thought that was, uh, it was funny cause he sounded like the critics. He said, you know the plot line and the characters, uh, you know aren't real big but the, the fire scenes and the you know  that action part is fantastic.|sd sd sd sd
B|Uh-huh.|b
A|But, he thought ROBIN HOOD was great. It was real different then you'd expect, but  but he enjoyed it|sd sv sd
B|Oh really?|bh
A|and so,|%
B|Well I went, course I am a Kevin Costner fan.|sd sd
A|Yeah, me too. And  yeah,|b sd b
B|Supreme.|sd
A|I really, uh, like him a lot. Which is why, DANCES WITH WOLVES was the last movie we had seen   for several months|sd
B|Uh-huh.|b
A|but,|%
B|Gosh, was that wonderful.|sv
A|It was, I, uh, in fact, uh, a friend from Germany was visiting in March and we wanted, we didn't, ran out of time, we wanted to take him to see it. We were going to sit through it again cause we really wanted him to see it, too.|aa % sd sd sd
B|Oh, yeah.|b
A|Uh, I just thought that was terrific. And I really enjoy Harrison Ford which is one of the reasons I wanted to see,|sv sd
B|I do, too. I think he's really good.|aa sv
A|And he's very good in REGARDING HENRY. That's not an easy part to play, I, I don't think|sv sv
B|I wouldn't think. Well, my kids are going to their Dad's tomorrow night so I sort of think I may go do that.|aa sd sd
A|Yeah. That's at, that one won't your sides|b sv
B|Good|ba
A|Um, it, was this the first time you got to see ONE HUNDRED AND ONE DALMATIANS? Or,|% qy %
B|I my parents took me when I was probably somewhere between Ashley and Jamie's age begin to|% sd
A|Uh-huh.|b
B|And we went to the,|sd
