A|Okay You want to get a start?|fo_o_fw_"_by_bc ad
A|You know But it is nice, it is a, it is really a nice area.|qh sv sv
B|I, I had a friend from England visit once at Christmas, and we could not get her out of the what she called the English back garden. Because she wanted to go back with a sunburn.|sd sd
A|Oh, really? Oh.|bh b
B|And she went back to the north of England with a sunburn|sd
A|Oh, good heavens Not me I avoid the sun|ba sd sd
B|Well, yeah, basically I do, too.|b sd
A|Yeah, it takes me about four and a half hours to do, to mow our grass. And I try to cover up when I do the lawn|b sd sd
B|Well, I, that, that is really healthier, frankly.|sv
A|Yeah, well, I have had a little, a couple of problems and, uh, I decided it is not worth it.|aa sd sd
B|Uh-huh. That,|b %
A|I, I like to get tan in the Summer time because I think you look healthier. And, uh, we are just crazy|sv sv
B|But you, you know, it is interesting because you get out in that sun an awful lot. Now my sister is a, a sun fiend.|sv sd
A|Uh-huh.|b
B|And, uh, she is five years younger than me, she is more wrinkled.|sd sd
A|Is that right?|bh
B|Yeah,|ny
A|It, it just makes your skin more leathery.|sv
B|and I think that is why.|sv
A|It, uh, it,|%
B|Exactly.|aa
A|yeah. So,|% %
B|I think it burns off the, I don't know the, the, the theory, the scientific principle. But it burns something off, the natural oils or something like that.|sv sd sd
A|Uh-huh. Well, the elasticity of your skin, the collagen or whatever they call it. They say it destroys a lot of that.|b sd sd
B|Yes.|aa
A|And you lose a lot of that. So, uh,|sd %
B|Yes, uh, that sounds like a good, that sounds like the right theory.|aa ba
A|Yeah, but, uh, but we have really had nice, the weather, I can't complain. We have really had really good weather of late.|b sd sd sd sd
B|Good.|ba
A|And when it has rained, it it's been a good soaking rain and, uh, it has just been a really nice Spring.|sd sd
B|Well, that is great. It has been, it has been very nice here too. And I hope it continues because my parents are coming to visit this evening and I want them to have nice weather for their visit instead of driving around in the rain.|ba sd sd sd
A|Oh. Oh, that is great. How long will they be there?|b ba qw
B|Uh, probably four or five days.|sd
A|Uh-huh. Well, that is great. Well, I hope the weather stays real good for them. And, and, uh, that you have a good visit and everything.|b ba sd
B|Well, thank you Thanks.|ft ft
A|And I hope your garden does good.|sd
B|Yeah. And the same to you.|b sd
A|And, so. Okay. Well, it was really nice talking to you.|b fc
B|A pleasure.|fc
A|And, uh, good luck in your, this venture. It is, uh, like I said, it has been real interesting. So I hope you enjoy it as much as I have been enjoying it|fc fc fc fc
B|I am sure I will. In, in fact, if I had not been preparing for this, the out of town visitors, I probably would have been making some phone calls in the last couple of days.|fc fc
A|Yeah, I forget to. The day goes by, and I forget to make a call usually.|fc fc fc fc
B|Well, I am glad you have broken the ice with me because now, I will, I will start doing it|fc
A|Great, great.|fc fc
B|Okay.|fc
A|Okay.|fc
B|Well, thanks, Jean.|fc
A|Uh. Bye-bye.|fc
B|Bye-bye.|fc
