A|Okay, I'm back on.|fo_o_fw_"_by_bc sd
A|and, of course, the town thinks he's just terrible, because that has been tradition for hundreds of years and he's broken it. And then we saw one where this, there was a teenage, when a teenage boy comes into his manhood, they call it the night of the howling, or something like that,|sd sd sd
B|Uh-huh.|b
A|and they all go out and howl, you know And, and the son refused to do it. He, he did, he thought it was not ...|sd sd sd sd
B|So he didn't go howl?|br
A|No, he wouldn't go howl, so all the, all the people that worked with the father ostracized him|nn sd sd
B|Oh, how funny.|ba
A|It is. It, it, it's, it's real interesting to watch the show, and, and the relationship between the family is, is really now, now the mother-in-law lives in the house with them.|aa sv sd
B|Huh.|%
A|So it's, our, our grandson, our oldest grandson is the one that, that got us to watching it. But it really is, it moves real fast. It's a real short, and there's always, like I say, a moral to it and,|% sd sv sd sd %
B|It's just a half hour, or is it hour?|qy^d qrr
A|Well, half hour.|sd
B|Oh.|b
A|That, that's all there is to it. And, and, uh, they ...|sd %
B|There's not many half hour shows, it seems like that,|sv sv
A|Yeah, it, it, they, they're trying to liken the, the father in there of the teenage son to like JACKIE GLEASON SHOW. Uh, the way he talks to his mother-in-law and so forth,|b sd
B|Uh-huh.|b
A|and I guess maybe there are some parts of that, but I didn't really see that in there. But what I've read about it, they talk about that. But anyway, we've, we've enjoyed that, and, and, uh, I guess mostly I, I like the news shows too, the news magazines, like SIXTY MINUTES or TWENTY, TWENTY or PRIME TIME LIVE or something like that, you know, all, all of those shows, if I can do it,|sv sd sd sd sd
B|Yeah, no, I watch those if I,|b b sd
A|but my husband likes to watch, um, old movies, especially war movies, or, or, uh, sports, which I'm not,|sd
B|Oh, see, I like sports.|sd
A|No, I don't. Well, I, I do, I like ice skating and I like, uh, gymnastics, and some track and field,|ar sd sd sd
B|Uh-huh.|b
A|but I, I, and I'll watch snippets of baseball games and I, I just don't have that much time to sit and watch the whole thing.|% sd sd
B|Uh-huh.|b
A|And I don't ever, no matter what's on, I don't ever just sit and watch T V. I'm usually either doing dishes, or I may be sewing, or, you know, I always have, or letter writing,|sd sd sd sd
B|I know.|b
A|or I may be working around in the room somehow, but I don't, I don't ever just sit and, I, that's something that comes from your old age, you know.|sd sd sv
B|No, I don't sit.|b sd
A|Idle hands are the devil's workshop|^q
B|I know. Who has time? I don't have time to sit, I know.|aa qh sd
A|No. It's, it's, uh,|b %
B|That's why I don't get to watch that much. I mean, I, watch nine o'clock|sd sd
A|Right.|b
B|I do okay, because the kids are all in bed, but before that, I really, there's not much time.|sd sd
A|Right.|b
B|Or like at six thirty I'll watch WHEEL OF FORTUNE or something like that.|sd
A|Right, well, our, yeah, if our if our grandchildren are with us, that's, they have to watch that. We don't watch it unless they're here|b % % sd sd
B|Uh-huh. No, I like that. No, I'll watch, game show kind of stuff|b % sd % sd
A|But they, uh,|%
B|but, Yeah.|b
A|It's, it's, um, oh, and, you know, the, the kids will get you started on stuff like AMERICA'S FUNNIEST HOME VIDEOS. We've wound up sending in one. That's something I didn't think that we'd ever do|% sd sd sv
B|Did you send one?|qy
A|Yeah. My oldest grandson pulling his tooth. He's, he's, he wouldn't let us pull it,|ny sd sd
B|How funny.|ba
A|and I mean, it, it got to the point he was eating a pear here, and he bit into it, and it was just hanging by a thread. And I, and I'd tell him, you know, it's getting ready to fall out, and he walked around the house with his face down toward the floor and his mouth open, hoping it would because he wouldn't let anybody pull it. And he he wound up pull,|sd sd sd sd sd sd
