A|Do you have any particular thoughts about the school system?|qo
A|But there are, I think there are a couple of areas where the school system can improve, and this is something that I see. Too many times students get diagnosed as slow learners, and in fact they're not. They're behavior problems.|sv sd sv sv sv
B|Right.|b
A|And so, they get put in, in, in our school system, in a class that's limited for skills children that have, really have to master skills.|sv
B|Uh-huh.|b
A|And that's not their problem. Um, at the same time, I've seen, we, we have a, an international population. There's no bridge area for students coming out of the E S O L, which is English for Speakers of Other Languages program.|sv sv sv
B|Uh-huh.|b
A|The, once they're past E S O L, they get out, they got thrown right into the total mainstream|% sv sv
B|Right.|b
A|and, uh, there really needs to be a bridge, some sort of transition for that.|sv
B|Right.|b
A|So the school systems can improve, both in standing up for splitting classes, you know, having learning learning, slow, slow children in slow classes, but not mixing them with behavior problems.|sv
B|Right.|b
A|And then, you know, the case where they put the behavior problems in the average classes, you get these kids that are average students but highly motivated.|sv sv
B|Right.|b
A|And then you throw in kids that are not motivated, maybe bright, but they're discipline problems. And you sometimes the average classes really are problems because you've got such a mixed bag there.|sv % sv
B|Uh-huh. Right.|b b
A|You know, the gifted and talented are fast classes. There's really not that much of a problem with. But it's,|sd % %
B|Well, I, I've seen more, uh, incredibly intelligent underachievers than,  than, uh,|sd
A|Uh-huh.|b
B|I personally I will, I would take a person who's motivated and a little, uh, less intelligent than the person who, uh, is one of these very intelligent people who just kind of, isn't motivated to do anything.|sd
A|That's, yeah. I remember I had a college professor who once said that genius is one percent inspiration, and ninety-nine percent perspiration.|% b sd
B|Yeah. Well, I, not to toot my own horn here or anything, but I, I was graduated from my high school, I was the valedictorian, and I know that there were a lot of kids that were an awful lot smarter than me,|b sd sd sd
A|Uh-huh.|b
B|and they proved out late when it came time to take the S A T Mine were  good,|sd sd
A|Uh-huh.|b
B|but they weren't great.|sd
A|Uh-huh.|b
B|And, uh, when I got into college I struggled, I struggled just to, uh, get my degree in the, in the field that I was in.|sd
A|Yeah.|b
B|Whereas I knew people that in high school were kind of lazy and all, but they got motivated in college and they did a lot better than I did. And when it,|sd sd sd %
A|Yeah. I guess kids do mature at different ages  too.|b sv
B|Right.|b
A|That's, and, you know, as a teacher you, you try to make, be understanding that, you know, there are different ages, kids are, is this a, got a kid that just a question of maturity, or is he a problem child.|% sd % % sd sd
B|Uh-huh.|b
A|But teachers are asked to diagnose so much. Um, there, I mean, I mean we're, have to be, we're alerted|sv % %
B|Right.|b
A|there's all sorts of systems where suicide, uh, predisposition. I mean, we're alerted to what the moment we see something. If we see a child that we have any reason, that's on drugs, such as if he's got a beeper or if they're, if they're flashing lots of money around. We've, there are certain things to do. I mean, so the school system's asked to do so much, but you can't operate in a vacuum.|sd sd sd sd sv
B|You actually have students with, with beepers?|qy
A|This is a, we're in a rather wealthy suburb of Washington.|no
B|Uh-huh.|b
A|And a student with a beeper immediately gets sent down to the, uh, principal.|sd
B|I mean, where, what are the, what could they possibly be thinking. I mean how.|% % qo %
A|It's for drug use. They can't imagine for anything else.|sd sd
B|Yeah|b
A|Yeah. You know, it's, it's amazing, but uh, you get all sorts, you get all, all sorts of things, uh, in the schools, uh, uh, and it's, and you know, as a teacher you're alert, you're alert for the kid who's very drowsy. You're alert to the kid who suddenly has a, um, behavioral change, and you refer them to the nurse.|b sv sv % sd sd sd
B|Right.|b
A|And, so, I mean, you have to find out whether there's a legitimate reason, or whether this is a warning signal.|sd
B|Yeah, can you, how can you, how can you expect to, Oh yeah, I, I, I was, uh, sitting in the barber shop. I'm an officer in the Air Force, and I was having my hair cut|b qh b sd sd sd
A|Uh-huh.|b
B|and the barber got a call while I was there, uh, from his son's school. His son's in high school. And his son was failing gym and, uh, and having trouble, with a few other things. But, you know, it's like, uh, this guy was like, why now, there's no problem with my kid. My kid's a great kid and all this. The kid had missed all these classes, and basically he, his answer was, Oh, I gave him permission to, to miss.|sd sd sd sd sd sd sd
A|Uh-huh. Yeah, the denial mechanism is really strong and so many parents are facilitators.|b b sv sv
B|Yeah.|b
A|I mean, they're manipulated by their children.|sv
B|Right.|b
A|I've been fortunate. I have, uh, a son who's a sophomore in college up in Massachusetts at, uh, Amherst,|sd sd
B|Uh-huh.|b
A|and my other son is a senior in high school, and he's going on to Williams. And I mean, they're really super. They're both national level swimmers,|sd sd sd sd
B|Sure.|ba
A|and where we've been very fortunate, but, you know, they had to be held accountable too.|sd sd
B|Right.|b
A|I mean, you know, at some point a parent does help their kid, but in, in some ways, but, but you have to say at what point isn't the help becoming negative.|sv sv
B|Sure.|ba
A|And I think this is where the school system at, is suffering, and not through any fault of the effort of the school system.|sv
B|Right.|b
A|But gee it was good talking with you.|fc
B|It was good talking to you too.|fc
A|Yeah, so there are people throughout the country that feel the same ways that you do, and, and are connected with the schools.|fc fc
B|Yeah. Yeah, I've had interesting conversations on several subjects not, uh, not just this but different, the different things.|fc fc fc
A|Uh-huh.|fc
B|It's amazing how the, you know, people you talk to have some interesting conversations and, uh, it's too bad that all this stuff is just being thrown into a data base, and that none of the ideas or thoughts are being used at all|fc fc
A|Well, we are, though|fc
B|Yeah, that's true.|fc fc
A|Listen, good luck. Take care,|fc fc fc
B|Yep. Bye-bye.|fc fc
A|Bye-bye.|fc
