A|Okay, so do you all keep a budget?|fo_o_fw_"_by_bc qy
A|Right. Yeah, we we've become aware of that. We have a, there's a loan officer through our church, too, that I think could help us better. You know, he does that full time with the bank, you know.|aa aa sd sv sd
B|Uh-huh.|b
A|And so we're going to use people that we're in a relationship with that we know, that, you know, we know are people of integrity. So.|sd %
B|Sure.|b
A|You know, that is another thing that, you know, we feel like our long term goal is going to be benefitted by next time we buy a car we're not just going to go to Toyota of Irving, you know, we're going to go to somebody that we know, we're going to take someone with us older, and we didn't do any of those things.|sd sv sd sd sd sd
B|Somebody you trust. You know, there are so many rip-off artists here in this town. It's, it's, uh, it's really a sin, it really is.|bf sv sv sv
A|Yeah.|b
B|I got taken on some on firewood.|sd
A|Really.|b
B|I mean, uh, uh, the guy shorted us a half a cord of firewood, and my wife didn't know, and I stopped payment on the check, and he'd already been paid by a cashing firm. And, and they're suing us, they're suing me on this, and it's for a hundred and thirty-four dollars.|sd sd sd sd sd sd
A|Oh, my.|ba
B|Absolutely pathetic.|sv
A|I stopped payment on a check. Oh, that's funny. Oh, this last week, we bought a sewing machine at Zak's, and then I found that you could get the same machine better for less locally. Not much less, but it was enough less, and I found they locally serviced it. And we just stopped payment on the check. So I hope they don't sue us over it But we never received any merchandise either, so I don't think it would hold Anyway.|sd sv sd sd sd sd sd sd sd sd
B|Oh, okay, well probably something like that, did you call them and tell them you just, you just.|b % sv qy
A|No, we didn't even call them. We just did it. Maybe my husband should call today.|nn sd sd sv
B|Might be a good idea, because you're going to get, what, a, a check,|sv
