A|Well, what is your view, do you consider the Soviet Union a threat?|qy
B|And, uh, uh, that, that may have been a, a, a kind of far out way of thinking about it I don't know.|sv
A|Well, it's interesting, anymore the world's getting so small that it doesn't seem to tolerate anymore any kind of the expansionism, philosophy that, that was here in, you know, twenty years ago.|sv
B|Uh-huh. Yeah.|b b
A|Uh, but, of course, the people who have challenged that or tried to do, have have not been world powers. So, it's easier for us to say, you know, to an Iraq, you know, uh, you can't do this, get back, you know, or we're going to force you.|sv sv
B|Uh-huh. Yeah, or, or we can do something about it. Yeah.|b b ^2 b
A|Whereas, you know, if the Soviet Union would have, who knows what taking over Mongolia or, or something like that, who is really, will we have been more just rhetoric, uh, rather than going in there officially or, you know, physically and try to, to remove them.|sv
B|Uh-huh. Yeah. Well, the, the China situation, you know, the when, it looked like that thing was, was turning around and all of a sudden it was like somebody in the, in the Red Square or wherever said, okay, and that's enough.|b b sv sv sv
A|Uh-huh.|b
B|And the tanks came in and, you know, pretty much took care of that.|sd
A|Exactly.|aa
B|And,|%
A|Yeah, uh, that, personally I don't see as Gorbachev as being maybe a threat, and I think he's actually, honestly trying to do some change.|b % sv sv
B|Uh-huh.|b
A|But I don't believe that he, in this first pass around, you know, being the first one to really turn things around or attempt to is going to be allowed to get away with it either.|sv
B|Yeah. Well, this would be like if somebody was elected president of the United States and suddenly took off toward, you know, just some pretty hard by the socialism,|b sv
A|Uh-huh.|b
B|and, uh, you know, the, the reaction, uh, you know, the, the economic, well, the, uh, the social structure of the Soviet Union, you know, it, it's, it's coming apart at the seams.|% % sv
A|Uh-huh.|b
B|You know, and I've heard people say, well, you know, it's just like the American Civil War, will there be a union or not? Well, no, it's not the same sort of a thing at all because that, the whole Soviet system was put together under total force, you know, there was no, as, as we are seeing now with a lot of those, areas wanting out of it,|sd sv sv % sv
A|Right. Uh-huh.|b b
B|you know, they, uh, nobody you know, a lot man , those people didn't vote to become part of the Soviet Union, they had no choice.|% % sd sd
A|Yeah, that was always kind of interesting, people, you know, a lot of my friends have a taken us down, the stance of, you know, these people are just trying to be free and trying to get away and I'm thinking more of it from a nationalistic, you know, if I'm a Soviet and if part of, you know, south, let's say South Dakota wanted to you know, succeed, am I going to stand for that.|b sv % sd sd sd
B|Yeah.|b
A|Now I realize that the origins are, are different and that we all joined under a common direction and a common bond to begin with, and that they may have been forced, I'm not that familiar with their future,|sd
B|Uh-huh.|b
A|but I, you know, I, it's easy to believe that they were probably more forced into a pact than, uh, a volunteer or willingness to join.|% sv
B|Yeah.|b
A|But,|%
B|There, there was the whole thing was put together, you know, by force. There's, there's no, no real question about that.|sd sv
A|Uh-huh.|b
B|And some of the countries that were forced in at later dates is the three Baltic countries, you know, came in, in the forties,|sd
A|Uh-huh.|b
B|and, uh, it's, well, it's not that they came in, it's they were conquered by the Germans,|sd
A|And then, just never given back.|sd
B|and then the Russians even, took it back from the Germans and never bothered to give it back, you know,|^2
A|Yep.|aa
B|so. That's a, a little different situation.|sv
A|Well, that whole a, the whole idea if you look at the Russian history and I guess all countries the way it used to be is, the only way to truly protect your borders was to have a buffer.|% sv
B|Uh-huh.|b
A|And that was the whole idea why they had so many buffers and maybe, you know, more and more people are seeing, oh, countries hopefully are seeing that that buffer isn't going to help you, you can, well, I guess like, with, uh, Israel is a perfect example.|sv sv % sv
B|Yeah.|b
A|The reason they have the Angolan Heights and the, the, uh, all their buffer area is between Jordan and the, the Sinai and, and Lebanon was just as a buffer but, you know, as you can see with the, the scuds go right over there.|sv sd
B|Uh-huh. Yeah, they don't really pay a whole lot of attention to buffers.|b b sd
A|Yeah, there's, there's very little that, that binds you anymore in today's technology.|b sv
B|I knew a lot of guys in the service when they were sent to Germany they said that's the safest place in the world because if a war starts, all the bombs are going to go right over Germany and they're going to land in other places, you know, that's going to be the safest place to be.|sd sd sd
A|That's probably very true. that's very interesting, never thought of that.|ba sv
B|Yeah, well, uh, I, I guess, what they'd have to do to, I really don't know, you know, in, in the, in, you know, I hope that what's happening is exactly the way it appears.|b sd h sv
A|Uh-huh.|b
B|You know, some reason or other, you know, is, uh, it's kind of a strange thing we've been trying to make something like this happen for so long that when it finally happens you say, whoa, wait a minute,|sv
A|Nobody knows what to do.|sv
B|you know. What's, uh, what's, what's really happening here.|qh
A|Is it real? Uh-huh.|bh b
B|But you wonder how, well, this thing, who, was it Boris Yeltsin, the guy that's running the, uh, or evidently was elected president of the Soviet, for the Russian republic, which is, I guess, the, uh, the biggest,|sv sd
A|Right. Exactly. I get confused between all the, which is the Soviet provinces versus which are the, the Russian provinces, versus what are,|b aa sd
B|Uh-huh. Well, in the center but you got a, the, the great big area that's just, was traditionally known as Russia and then all these little nationality groups, around it, you know, that were, you know, was there nineteen of them or, or whatever,|b sd sd sd
A|Uh-huh.|b
B|you know, and these were all the Soviet economists, us you know, they had some real fancy names for them.|sd
A|Right.|b
B|Matter of fact when the, uh, yeah, what I read when the, uh, uh, United Nations was setup in, in San Francisco, one of the first things the Russians wanted to do was bring in each one of the, uh, of these, you know, republics, as a separate country,|% b sd
A|Oh, as a,|^2
B|you know, so there would be, there would be nineteen, rather than one.|sd
A|as a vote. Sure. Sure.|^2 b b
B|And, uh, the United States said, well, that mean we get to bring in forty-eight, you know. And, uh, that sort of, you know, they backed down on that.|sd % sd
A|Died down on that. I thought it was interesting that recently here the Warsaw Pact no longer exists as a military force, but it's merely an economic now.|^2 sd sd
B|Yeah, well, wonder if that|b %
A|Well, I mean at ,|%
B|uh, what do you get shot by something that's called a, an economic force or what is called a military pact,|qh
A|Yeah, exactly.|b aa
B|you know, it's all, you can change the name of something but I wonder if it's still, exists.|% sd sd
A|Uh-huh.|b
B|Although, I've seen some evidence that, you know, the, uh, the Russian soldiers are, well, you, the funny thing there is they're not particularly welcome back home because there's, they're having housing shortages now. What do you do with all these troops that have been taken care of by, uh, Bulgaria and, and Czechoslovakia|sd % sv qh
A|Exactly and, and all the,|aa %
B|and now all of a sudden they're going home and somebody's got to pay for their,|sd sd
A|Well, that's what they're saying the whole problem, you know, with, if we were to demilitarize Europe, what are we going to do with all the soldiers over there?|sd qh
B|Yeah. Well, that's not,|b %
A|What's going to happen to the economies that are no longer have a, a million plus people in the you know, in each country from the U S ...|qh
B|Yeah.|b
