B|Okay, I don't know, which end do we push but okay,|fo_o_fw_"_by_bc sd qw %
A|Right. Yeah, and it's, uh, real true that, uh, you know, they'll say one thing, to get elected, and then once they do get elected, they don't have the power or the authority or the willingness to do those things that they promised, you know, beforehand.|b b sv sv
B|Right.|b
A|You know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing. You know, that's, uh, with the economy going the way it is and everything, that was nearly ridiculous thing to, even try to do.|sv % sv
B|Yeah Yeah. Well, I don't think he's going to have to worry about that next year. I think he can probably raise taxes and still get elected.|b b sv sv
A|Right|b
B|Uh,|%
A|Right, after the war.|b ^2
B|Uh-huh.|b
A|That really, uh,|%
B|Unfortunately that will probably even drop lower, the voters turndown, even more because more Democrats will think that they don't have a shot so they won't even bother turning out.|sv sv
A|Uh, that's true, yeah.|ba b
B|They'll just say, oh, well, you know, the Republicans have this election we'll see you in four years.|sv ^q
A|Right. Yeah.|b b
B|hope some of the local, well that's what they, they keep saying that it seems like people with old-fashioned values are the ones that aren't turning out at the, at the booths, they, they say that these older voters that, uh, you know, they, they feel like the kids are running the, the country so they, they don't come out, turn out to vote and they're the ones that, uh, you know, really know what's going on, have the experience and seen, you know, how politicians can, you know, screwup or what ever.|sd sd sd sd sv
A|Uh-huh.|b
B|But, I know, my grandmother hasn't voted in years.|sd
A|Right, that's, you know, neither has mine as a matter of fact. And, uh, that's true, they, I think they look at it as, well everybody, the majority of the people think this way, when that's not necessarily true, because, you know, that's what the media says. Well, the majority believes this way so, uh, they don't even bother turning out to vote to express their, uh, opinions. So that's, that's true.|b % sd sv sv sv sv sv
B|Yeah, wonder if they're going to take into account this computerized conversation that there's little children, you know, bouncing in your knee, the whole time your talking|b sd
A|Yeah. Do you hear the dogs in the background here?|b qy
B|No, I can't hear them.|nn sd
A|Okay, they're, the children next door just opened the fence and they went off.|bk % sd sd
B|Oh, yeah?|bh
A|Yeah. But anyway, that's, I guess we've, uh, talked long enough and, uh, that was sort of interesting.|b % sv sv
B|Yeah|b
A|What part of the country are you from?|qw
B|Uh, Washington, D C,|sd
A|Are you really?|bh
B|Uh-huh.|ny
A|Wow. This is, I'm in, from, this is Dallas where I'm at.|ba % sd sd
B|Oh, okay.|b
A|The outskirts of Dallas.|sd
B|Well, I figured with Texas Instruments they'd probably have a few, uh, Texans on the line now and then.|sd
A|Yeah, do, do you work for T I in any way?|b qy
B|No, huh-uh.|nn nn
A|Wow, how did you, how did they get you?|ba qw
B|Um, they , they went through engineering companies,|sd
A|Oh.|b
B|and, uh, we're communications. I, I work in a communications company.|sd sd
A|Oh, okay, right. I work for T I so, we saw it on the, uh, T News one day and I thought, wow, that might be interesting.|bk b sd sd sd
B|Yeah. sort of different.|b sv
A|Yeah.|b
B|They called me at, uh, ten o'clock one night, that was very strange.|sd sd
A|Yeah.|b
B|I guess they were doing Eastern Standard Time. I was like, I don't know how long it takes whether it takes five minutes or twenty minutes.|sd sd sd
A|Yeah, Central Standard Time is what they're doing it by.|b sd
B|Yeah.|b
A|Yeah. I still haven't figured out what the zero through six days which day is which yet but, I didn't study it that hard so maybe I'll figure it out.|b sd sd sd
B|Uh-huh.|b
A|But, anyway, it was nice to talk to you and, uh, sort of meet you, and, that was an interesting topic.|fc sv
B|Okay. Yeah. Okay, well, if your ever in, uh, D C, come look up Wayne Sherman , you'll say oh, yeah, talked to that guy.|b b b ad
A|Okay. I'm, I'm Kyle Hunt, too, if you ever come to, to Dallas area.|aa sd
B|Oh. Okay.|b b
A|We live right by the airport.|sd
B|Yeah, yeah, so do we.|b b sd
A|Oh, okay.|b
B|Yeah, right next to Dulles.|b sd
A|Yeah.|b
B|All right, I'll talk to you later|fc
A|Okay.|fc
B|Bye-bye.|fc
A|Bye.|fc
