A|Hi, what do you do with your credit cards?|fp qo
B|Yeah, and I, and I think at this, at this point in time with the economy the way it is, I think that, um, it's going to get even worse. Um, I'm, I'm glad that we're starting to pay our debts off, now, um, you know, we, only we started this last year|b sv sd sd
A|Uh-huh, uh-huh.|b b
B|and we probably still have about another year to go before we're completely out of the hole.|sd
A|Uh-huh.|b
B|But I think this, they way the whole economy is going right now, it's just not good to be in debt.|sv
A|That's right, that's right. Yeah, yeah, that, I would, that would be a very scary feeling for me to know that I was, you know, juggling payments to different people I guess because I never experienced it.|aa aa aa aa sd
B|Uh-huh.|b
A|And it's not, because you know, I'm rich or anything, it's just, a mental concept that I have. Yeah,|sd sd
B|Yeah.|b
A|that I just.|%
B|Well, when you, when you're getting rid of the whole credit card cycle, and if you really get into the mind set, I got really good at juggling money and basically robbing Peter to pay Paul, and it was scary, because I was so good at it.|sd sd
A|Uh-huh, uh-huh.|b b
B|And I thought, this is not right. I mean, this has got to stop, because eventually it'd end up catching up at, catching up with me and it hit me in the face.|sd ^q sd
A|Right, right.|b b
B|Um.|b
A|But it sounds like, you know, you, you learned from it and you're coming out of it all right.|bf bf
B|I, yeah, I have, I've learned a lot from it.|aa aa aa
A|Uh-huh.|b
B|I've learned that credit cards are extremely dangerous in my hand and my husband's too, because he's, he's the same way I am.|sd
A|Uh-huh, uh-huh. Uh-huh.|b b b
B|I don't, I don't think that, well, when we buy on credit we just don't have a concept of how much money we're spending until the bill comes in.|% sd
A|Uh-huh. Uh-huh.|b b
B|And then all of a sudden you look at the bill and you go, Oh my gosh, I spent this much.|sv sv ^q
A|But now, the fact that you still have two cards, are you, do you use them, more judiciously?|% qy
B|Yeah, we pretty much use them for emergency type things like transmission fell out on our car|ny sd
A|Yeah.|b
B|and that paid for a new transmission|sd
A|Uh-huh.|b
B|um, and, and things like that. Um, and we try not to use them for incidental type things, like, you know, gas and stuff like that.|sd sd
A|Purchases. Uh-huh, uh-huh Clothing, sales.|^2 b b qy^d
B|Yeah.|ny
A|Sales I find are a pain.|sd
B|Yeah. I've, I've gotten, I've gotten a lot more away from, from credit cards, and I pay by check a lot more now.|b sd sd
A|Uh-huh, uh-huh. Well, it sounds good, you know. Like I said, it sounds like you're, you've really got it under control.|b b ba bf
B|I, I admire you for having, having that mind set for not, not even getting, you know, past the thirty days, I would, that's ideally the where, where I would like to be.|sd sd
A|Uh-huh, uh-huh. Yeah, and like I said, once, once it, it happened I couldn't because my son's tuition came due, and I guess I had, you know, not really counted on it quite at that point|b b b sd sd
B|Uh-huh.|b
A|but, um, yeah, I didn't like it at all. I was very uncomfortable. So,|b sd sd %
B|I can imagine.|ba
A|You know, and, and I mean, it was, I thought a lot, sixty dollars interest or something for, for just a couple of months, and I'm going jeez, that's outrageous,|sd sd sd
B|Yeah.|b
A|but in, in, you know, retrospect it wasn't all that much, I mean a lot of people pay a lot more and and, you know, but still, I mean, I figured I didn't need those items if it cost me sixty dollars more to have them.|sv sv sd
B|Oh, yeah. Uh-huh. Think about what you can buy for sixty dollars.|b b ad
A|Exactly Groceries for a week.|aa sv
B|Yeah, yeah.|aa aa
A|Yeah.|b^m
B|I, I think about all, all the money that, that we've spent on interest on all of our credit cards,|sd
A|Uh-huh.|b
B|and it's just incredible.|sd
A|But now did you use to not feel so badly because you could take it off your income tax?|qy
B|We've never been able to take it off our income tax. I'm, I'm fairly newly married. I've only been married less than two years|arp_nd sd sd
A|Uh-huh.|b
B|and before that, I never owned a home or anything, so I never had any deductions.|sd sd
A|Right, right.|b b
B|So, really, it was always just money thrown away.|sd
A|Thrown away. Yeah, jeez.|^2 b ba
B|And I never really thought about it because,|sd
A|You were good at it|bf
B|Yeah, I was so good at it that it just kind of got stuck in the back of my mind and just never um, became a real problem until all of a sudden it came an insurmountable problem.|aa sd
A|Uh-huh. Yeah. I suspect that, you know, thinking about it and looking at my friends and the number of credit cards that they use and, you know, the amount that I know they buy, I guess probably a lot of them are in a similar situation, and, you know, just don't talk about it.|b b sd
B|Yeah. Most, most people don't like to talk about money. They feel uncomfortable, I think.|aa sv sv
A|Uh-huh, uh-huh,|aa aa
B|You know, for a lot of people it is very personal.|sv
A|very personal. Uh-huh, yeah, and especially if you, if you don't feel you're handling it quite right or that somebody might make fun of you or that it would be,|sv aa aa sv
B|Yeah. But I think the, the average American is probably pretty heavily in debt. Not, not including like a mortgage. A mortgage is an understandable debt because that's, you have, you have to have a roof over your head.|b sv sv
A|Uh-huh. Right.|b b
B|And I would much rather own my own home than, than be renting it like we're doing. I mean, we're basically, you know, kind of throwing seven hundred dollars a month away.|sd sd
A|Uh-huh, uh-huh.|aa aa
B|We're renting a house.|sd
A|Uh-huh.|b
B|But, you know, right now with the way our credit card situation is, there's nobody in the world that's going to give us a mortgage on a house.|sd
A|Right, right. But, but, once I suppose you, you prove yourself by paying this off next year you'll be in very good shape.|aa aa sv
B|Yeah. Yeah. It's, it's going to, it's going to take quite a while.|b aa sv
A|Uh-huh.|b
B|Hopefully within five years we'll be in our own home.|sd
A|Uh-huh.|b
B|But, um, I'm not really counting on it real soon.|sd
