A|Okay.|fo_o_fw_"_by_bc
B|So that's nice, so you always get two days at Christmas. A lot of people just take, you know, that week, I normally take that week somehow, you know.|sd sd sd
A|Yeah.|b
B|You only have to take three days of vacation and you get the whole week at Christmas time.|sd sd
A|Yeah, well, um, I can just tell you like, you know, Well there's twelve kids in my family.|b sd sd
B|Whoa, okay!|ba
A|So the, the dental was very important, you know, to my dad.|sd
B|Uh-huh.|b
A|But, um, I think they took the dental away now. He worked for United Telephone System, it's, you know,  it's just another, you know telephone network.|sd sd sd
B|Um. Uh-huh.|b b
A|And they took the dental away, but now I think they're going to start getting into eye.|sd sd
B|Oh, yeah.|b
A|Yeah.|b
B|Yeah, I think, uh, um, I don't use the services but yeah, I think sometime last year, or just recently they started to give some kind of eye coverage. You get discounts on, uh, glasses and I'm not quite sure, there's certain places you can go to that have, uh, discounts for people that work here.|b % sd sd sd sd
A|Uh-huh.|b
B|So you can get glasses and contacts and stuff through those particular stores or something like that.|sd
A|Yeah, and now for his pension he pretty much just has the stock.  he's on that same kind of pension as what you said only,  for everything he puts in they'll match it, up to a certain amount.|b sd
B|Yeah|b
A|Like if he puts in a dollar they'll put in a dollar, you know.|sd
B|Yeah.|b
A|And then he's only allowed, I think, I don't know if it's maybe five percent, or something like that that he's allowed to put in and they'll match it.|sd sd
B|Uh-huh.|b
A|So and, um, he works for the, did you ever hear of the National Bureau of Standards?|sd qy
B|Yeah.|ny
A|Okay, well he works for them. They changed their name now but that's, that's where he works and, um, he, his vacation is really nice. He's going to be there three years at the end of this month and he'll be getting three weeks vacation.|bk sd sd sd sd sd sd
B|Gee, that's pretty decent.|b ba
A|Yeah, yeah. you know, of course, it's a it's for the government and he has all, all the holidays off.|b b sd sd
B|Right, and you get some extra ones. Federal workers always seem to get, you know, you get Columbus Day, and Veterans Day,  and those ones that you couldn't really care about so much but you get the day off anyhow.|b sd sd sd
A|Right, right Yeah, uh-huh, he has it really nice. It's nice where he works, and, um, he seems to be very happy, you know. Like his hospitalization and, you know, he has all that and with his doctors and stuff, they have, um, a list of doctors that the employees can go to and it only costs a dollar as long as they go to that doctor.|b b b b sd sd sd sd sd sd sd
B|Oh, yeah, okay.|b b
A|You know, and I think it works the same way with his prescriptions and stuff if he needs any. But you have to go, you know, to certain ones but still that works out really nice. You know, it,|sd sd sd %
B|Yeah, we're doing an H M O right now, um, and when we go to get prescriptions it's five dollars, but,  you know, sometime, sometimes when you go, you know, the prescription,|b sd sd sd
A|That's not bad either.|ba
B|like my husband always takes which is kind of like, you know, Contact stuff, only better. Um, you that's like a buck a capsule.|sd % sd
A|Uh-huh.|b
B|So if you've got thirty in there it normally comes out to about thirty-four dollars so when you pay five it's a pretty good savings. Then there's other times that, you know, maybe the prescription wouldn't cost more than like seven or eight dollars and you pay five anyhow. So it isn't a,|sd sd sd %
