A|So, do you have any hobbies?|qo
A|I hate,|%
B|Is that the stuff that koala bears eat in Australia or something?|qy
A|Yeah, it is.|ny sd
B|Maybe that's why they're so slow. I guess they're stoned on the stuff or something.|sd sv
A|Yeah, it, it looks really potent stuff.|b sv
B|Yeah yeah.|b b
A|But, uh, it's, yeah, I think it's the greatest stuff in the world, though. It's, jeez, they, I make all kinds of things with it. We make all kinds of things just with dried flowers. I, I almost want to start a business doing it, but I don't, I, I'm so, uh, timid when it comes to starting a business.|sv % sd sd sd sd
B|Yeah, that's, that's a big step, yeah.|b sv %
A|Yeah, it is, especially with the, being in on the creative aspect and the crafty end.|aa sv
B|Yeah, uh,|b
A|You know, after a while you make some stuff, then you start looking at it, go, boy, this, this is kind of ugly But I know someone who does a lot of woodworking for a hobby. Um, he does it, believe it or not, I wouldn't imagine why, but to get out of the house, away from his wife, because he's a seasonal worker, he works in the construction. And up here it's almost a pattern, and you see your fathers do it, then their sons do it. What they do is they work construction, then they get laid off for like twelve weeks in the winter. And, uh, this guy was going nuts, and his, uh, son built him a garage and got him some, uh, oh, I don't know what the equipment's called, but planers and things and set him up,|sd sd sv sd sd sd sd sd sd sd sd sd sd sd
B|Uh-huh, shapers and planers and routers.|b fo_o_fw_"_by_bc
A|and he makes, all kinds of furniture for, um, his kids, and he makes, uh, uh, like little kids' furniture. He gets right into it and, uh,|sd sd sd %
B|There was a program on T V down here on the educational channel here a while back about a lot of little, little companies of one and two guys, you know, up there, this particular one, I think, was in Maine and New Hampshire, where out in the, just kind of out in these little towns they'd be in, they may be the same kind of people you're talking about. You know, they've, they've got twelve weeks to do something, and they, they're making furniture and just, you know, things like that during the winter and then they go off and do other things during the summer.|sd sd sd sd sd sd
A|Yeah, it's a, it's a really, good thing because it's keeping him sane,|b sd
B|So, yeah, Yeah, yeah. Yeah.|b b b b
A|and plus it's keeping his marriage|sd
B|Yeah.|b
A|so, and, and plus he's getting on in his years now. He's, he's not that old, but he's getting to the point where he needed an extra boost, to, to do something like that.|sd sd sd
B|Yeah.|b
A|And, uh, it's really, it's, it's, uh, hard work. I couldn't imagine taking lumber, raw lumber and trying to make something out of it. He He dowels everything.|sd sd sd
B|That would be really you know, like say the, Oh, man, yeah.|ba % ba b
A|And it's all got to line up. It's, and, uh, I don't think he goofs too much, I don't to, see too much scrap around.|sd % sd sd
B|Yeah, yeah, that's, that's something. Now our temperatures down here, we're starting to get pretty consistently in the seventies and eighties|b b ba sd
A|God , I'm envious|ba
B|and, uh, so, and, uh, so as far as, you know, planting outdoor stuff, matter of fact, tonight I just got through, I was planting some, some trees out back tonight, and, uh, this is, uh, it's really nice, out tonight.|sd sd
A|Is it going to be, Is it going to be really dry?|qy
B|Almost hated to come, you know.|sd
A|Uh, are you are you, now I always plant trees in the fall. I don't know why so the, the cold weather can kill them|% sd h sd
B|Yeah, these were, uh, trees that, that wintered.|b sd
A|but I guess,|%
B|I don't know where they came from. They come out of nurseries mostly in Missouri and places like that. And they come down here and they'll sit in the nurseries here and they'll go ahead and, and, uh, leaf out. So what I'm planting or actually transplanting is a tree that's, or trees that are already leafed out.|sd sd sd sd sd sd
A|Oh, that's good. I guess they, they say you can plant them in the spring or the fall, all .|ba sd
B|Yeah. Mostly, I think in a place where it's really cold they do it in the fall, let them winter you know, through the fall,|b sd sd
A|Yeah.|b
B|but, uh, down here, well, it's done both ways. It, it just kind of depends on what you're, what you're planting, but, uh all the shrubs and,|sd sd %
A|Yeah, and, uh, when you have time to do it|b sd
B|Yeah.|b
A|My sister does, uh, flower gardens. She gets right into it.|sd sd
B|Uh-huh.|b
A|She spends lots of money on them. And I guess a lot of people do, do do that. They landscape their whole house with flower gardens.|sd sd sd
B|Yeah .|b
A|She's got like, just a small patch of lawn and just flowers and mulch tree bark all over her lawn|sd
B|Yeah. Flowers, during the summer down here, the, the normal kind of flowers, there's very few of them that will really do well. Everything does real well here in the spring until about, oh, first part of June and then the the heat sets in.|b sd sd sd
A|It gets,|%
B|And June, July, August are, you know, most of the, those kind of plants just, are just barely staying alive, let alone make flowers.|sd sd
A|Do you have a lot of shade trees around your house or is it,|qy qrr
B|Uh, we're in a relatively new area. We're kind of out of, uh, the natural tree area. We're kind of up on a, on a higher, on a slope.|no sd sd
A|So you don't have a lot of tree coverage?|qy
B|So we don't have, where we are right now there are very few trees.|ng sd
A|Because going to make,|%
B|This was, this was, this was pasture land, but down the, down the hill here a little ways there are parks that are, look like jungles, you know. They're really,|sd sd %
A|Yeah. See, um, uh, where my, uh, well, my grandmother passed away, but where aunts are they have these huge pecan trees,|b sd
B|Uh-huh.|b
A|and they just shade everything.|sd
B|Now where is this?|qw
A|Uh, it's in Georgia.|sd
B|In Georgia, yeah, yeah.|b^m b b
A|It's, yeah, it's right outside of Macon, and, and it's just a, I like the way that, I like the way that idea of the south is, but when I think of Texas, I think of nothing but, no trees and just grass|sd % sd sv
B|Well, I tell you what, now, see, East Texas, there's two parts of Texas, East Texas and North Texas. Atlanta and Dallas are almost identical in every way, weather and everything.|fo_o_fw_"_by_bc % sd sd
A|Yeah.|b
B|The two cities are very, very identical, so if you were familiar with Atlanta, uh,|sd sd
A|So it's that dry heat?|qy
B|Uh, well, no, it's, it's, uh, not dry at all. It, it's humid.|nn sd sd
A|Well, where is it, is it wasn't it Houston's humid?|% qy
B|Houston is awful|na
A|Yeah.|b
B|Houston is really humid. No,|na nn
A|It's humid.|sd
