B|Women?|fo_o_fw_"_by_bc
B|Yeah.|b
A|And so anything, when the age creeps up, where I'm twenty-three and twenty-four,  I'm thinking my time is running out. You know,|% sd
B|Uh-huh.|b
A|but I'm actually very, very young.|sd
B|Yeah, you are, because what I was going to say is, what you will find is, my background is in journalism and corporate communications,|aa sd
A|Uh-huh.|b
B|and what you'll find is, I mean, I'm just now finally to a point where, I mean I don't know why I didn't, didn't do it sooner,|sv sd sd
A|Uh-huh.|b
B|but this is probably typical of the women's movement too,  is the idea that you're going to be forty tomorrow anyway, if you want to go back to school.|sv
A|Uh-huh.|b
B|I'm seriously considering going back to school for law.  Um, which is a complete, I wouldn't say career change, it's, it's a subway ,|sd
A|Um. Uh-huh.|% b
B|but it's still is a different application. And I mean, if you think about it, you know, I I still can have another career. I mean I've worked for over fifteen years in what I've done.|sd sd sd
A|Yeah, yeah.|b b
B|And I mean, so when you're saying quick, um, I think that's probably one thing that your generation coming up after mine,  is thinking that, um, they have to do you know, sort of,  I call kind of, I call it a chewing syndrome.|sv
A|Uh-huh. Right.|b b
B|They have to eat real fast they have,  they have to, rapidity of speech,|sv sv
A|Uh-huh, exactly.|b ba
B|they have to just go through everything.|sv
A|Exactly.|ba
B|And you'll find that probably by the time your twenty-eight, thirty, if you haven't slowed down,  something will slow you down.|sv
A|Uh-huh.|b
B|Do you know what I'm saying?|qy
A|Yeah, yeah,|ny ny
B|Um, because it's just, you find out that you're really not, um, smelling the roses, and I know that sounds trite,  and all that.|sv sv
A|Yeah, I think, I think a lot of, uh, people probably feeling that way, I know, I'm probably feeling that way because it's, everything's geared towards young.  You know|b sv sv
B|Uh-huh.|b
A|and whether I want to realize it or not, everything on television is young,  young, young, young.|sv
B|Oh it is.|ba
A|You can't be a model after thirty, you can't do this after twenty, you know and,  everybody that's in the music business is starting out at fifteen.  You know,|sv sv sv
B|That's right. Uh-huh.|ba b
A|and so I feel like I'm old. It's like I sing,  I sing and I would really love to become,  uh, a professional singer,|sd sd sd
B|Uh-huh.|b
A|but I think I'm too old now,|sd
B|Oh, you're not, no.|bd ar
A|and I'm twenty-three,|sd
B|No.|ar
A|because everyone I've seen coming up, they're fifteen.  You know,|sd
B|That's true I mean, it's, it's,|ba %
A|and so I'm going, I'm so old and I'm, I, I really have to always tell myself, no, you're not, you're very young.|sv sd
B|No, you're extremely, yeah, it's, it's|aa % % %
A|And, you know, so it's,|%
B|Well it's like us, we're getting ready to do, if possible, for an adoption and I have friends that say well why would you do that,  if you know you haven't been able to children, which we do know, why would you do that now, at this part, point,|sd sd
A|Uh-huh. Uh-huh.|b b
B|and, um, it's just individual choices.|sv
A|Yeah.|b
B|I stopped comparing myself a long time ago to somebody who had, um, in my family my brother's children,|sd sd
A|Uh-huh.|b
B|I mean, he just turned forty, his children will be out of high school before he's forty-five.|sd sd
A|Wow.|ba
B|Um, I mean that's like your mother, look how young she is,  compared to where you are out of school and everything.|sd sd
A|Uh-huh, yeah. Right.|b b b
B|It's just, it, but what you find is you don't compare the woman, because you just get into trouble. It's all independent and choices.|% sv sv
A|Uh-huh, yeah, very true.|b b ba
B|Um, but what I was going to say about mothers is, uh, your mother probably just won't say it, but, I mean, my mother and her sisters are always saying, uh, to my cousins and I, my female cousins,  you girls are so lucky because quote, unquote, you have all these choices, you know,|sd sd
A|Uh-huh.|b
B|you went to school,|^q
A|Right, uh-huh.|b b
B|you can do this, you can do that,|^q ^q
A|Uh-huh.|b
B|we couldn't do that then. And my cousins and I go, well why couldn't you|^q sd
A|Yeah, that's, that's why I say I feel, I feel really lucky right now, because I'm not married and because I don't have children. I'm out of school, I'm twenty-three, I can do anything I want to do, anything.|b sd sd sd sd
B|Uh-huh.|b
A|And so, I mean even some days I'm looking for another job now, but, and I get so depressed because, not because I can't find a job, but because I can't figure out what I want to do.|sd sd
B|And that's normal, I mean,  I think that's the world today.|bd sv
A|And yeah, and I and I'm lucky though, because not a lot of people can sit there and go gee, I don't know what to do. I have so  you know,|% % sd %
B|Right that's|b %
A|not a lot of people,|sv
B|Yeah.|b
A|but it's depressing too.|sd
B|That's how, I mean,  What, I'm right now.|sd
A|What do you, what do you that you're, Uh-huh.|qw b
B|I'm, I'm a free-lance writer right now.|sd
A|Oh.|b
B|And then, um, what I'm doing is working at, um, a an electronics company,  for their company newspaper,  right now on the side,|sd
A|Uh-huh. Oh.|b b
B|and then I'm also, actually, I'm excited, tomorrow I have a, uh, luncheon appointment with a perspective client to do,  uh, marketing communications for them.|sd sd
A|Huh. Huh, okay, I'm a, I'm a news reporter, now,|% bk sd
B|Oh you are?|bh
A|and what I'm looking for is something in, I really don't want to stay in news, but I would like to stay in journalism, and I've been looking for something exactly like that|sd sd sd
B|Here's what you this is off the topic, and those people probably|sv sd sv
A|Uh-huh, okay|b b
B|Did you go to Baylor by any chance?|qy
A|No, I I went to U T at Austin.|nn sd
B|Oh, okay, that's even better.|bk sv
A|And I, I just happen to work at a Waco station, because you know.|sd
B|I went to, or you in radio, or television or news.|sd qy
A|broadcast news, T V,|sd
B|Uh, my journalism degree is in,|sd
