A|Uh, well, let's see.|fo_o_fw_"_by_bc
A|And he only went a few months and then transferred to Pittsburgh. He went to aeronautical, uh, oh, just learning to work on engines and that.|sd sd
B|Uh-huh.|b
A|Uh, it has to do with airplanes and everything, which is what his whole life is And I really wish we would have let him go where he wanted to go originally. And he would probably be flying, is what he would be doing. Uh, but, but right now, of course, he's, he's working for Pratt and Whitney in Connecticut and they build and rebuild non jet engines.|sd sd sd sd sd
B|How about the other four, other three who went?|qo
A|Uh, the other ones, uh, the second one, she chose, we let her go where she wanted to, uh, we did not want her to go, but she went to Erie, to Gannan University. Uh, or Gannan College, I am not sure which it is, college, I guess. Uh, she went there two years and it was more expensive and she soon realized, you know, even though she did not like Clarion, she came back and finished at Clarion. Because, it, uh, saved her quite a bit of money and she got really the same basic education that she wanted.|sd sd sd sd sd sd sd sd sd sd
B|Uh-huh.|b
A|And our other two boys, they went to Clarion also. And, uh, did very well there. And they have all really got, uh, they have all really got really good jobs. And, uh,|sd sd %
B|When they were, like in junior high and high school, I mean, had they, did they have an idea that they were definitely going to go to college and,|qy
A|Uh-huh. Uh, yeah, they kind of had that, they just expected to go. Daphne never went, she always said she would never go to college. She said, I, I always thought she would change her mind, you know,|b ny sd sd sd sd sd
B|Uh-huh.|b
A|but she did not. And there's nothing wrong with that, you know, if, college is not for everybody.|sd sv sv
B|Uh.|b
A|But, uh, it, it does make a difference in your wage income. I think it's what they want out of life, because if they get an education and are willing to go where the jobs are, they can make a, you know, a much better income.|sv sv sv
B|Uh-huh.|b
A|Like my kids, they are all making more than my husband was making when he retired from the state. You know, that boggles,  my mind.|sd sd
B|Yeah, I was,  I was making more than, I was making three times what my father was making, as an executive in the insurance industry, when he retired.|b sd
A|Uh-huh, uh-huh. Okay, did you go to college?|b b b qy
B|Yeah,|ny
A|You did. See it makes a difference.|bk sv
B|I went, uh, four years to undergrad at University of Nebraska at Lincoln, because Lincoln is where, where my parents live.|sd
A|Uh-huh. Uh-huh.|b b
B|And there really, there really was not a choice,|sd
A|Uh-huh.|b
B|I mean the finances, uh, dictated that you had to go there.|sd
A|Uh. Uh-huh.|b
B|I kind of, I am not going to say I resent it,|% sd
A|Uh-huh.|b
B|but I was, well you know, one of the national merit scholarship qualifying and, you know, one of the Rhodes Scholars kids, and the whole bit, uh,|sd
A|Uh-huh. Uh-huh. Uh-huh.|b b b
B|my parents did not even discuss with me going to college out of state, or anyplace else,|sd
A|Some place else.|b
B|and I just knew that the finances, you know, would not support it.|sd
A|Uh-huh.|b
B|If I had known how, not, I am not going to say easy, but how much less difficult than I thought it would be to get a, uh, scholarship, to go anyplace else, I think that I would definitely, you know, have gone|sd
A|Uh-huh.|b
B|Now when I finished there, then I got a scholarship to go the Harvard University in Boston.|sd
A|Uh-huh.|b
B|And that was, uh, I think that was probably one of the best things that had ever happened, I mean I was, taken out of my element, you know, the homogeny midwest, which is a lovely place to grow up, and put into someplace else where, people thought differently, looked differently, sounded differently, you know, different life style.|sd sd
A|That's great. Uh-huh. Uh-huh, uh-huh. Uh-huh. Different life styles, yes, yes.|ba b b b b ^2 % %
B|And I think it was probably one of the best things that ever happened to me.|sd
A|Uh-huh.|b
B|Now my kids, I keep saying that, uh, you know, I would like them to go to the best school that they possibly could.|sd
A|Uh-huh.|b
B|And I do not know, you know, what the realities, you know, is going to look like, you know, we are putting money away already.|sd sd
A|Uh-huh.|b
B|Uh, but I really think it's important to put these children someplace where, in addition to, you know, them getting an education, they really need a, you know, a socialization away from what they are raised in. Especially if you lived a pretty insular community|sv
A|Uh-huh.|b
B|and, An upper class suburb of Dallas, let me tell you, It's very different.|sd
A|Right. It's quite a bit different. See that's the way we are, we are more of a rural type of an area and it does make a difference. I, they say, you should not look at the expense of the college when you are looking.|b ^2 sd sd sd sd
B|You should not.|aa
A|Yeah, not really. Because, they say that a lot of times you get more help, with a more expensive college.|aa aa sd
B|Uh-huh. Oh, yeah.|b b
A|And so, in the long run, if it's really what they want, you know, they are better off. Now our children all pretty much borrowed for their school.|sv sd
B|Uh-huh.|b
A|Uh, we, we did all we could, but they pretty much had to borrow a lot of their money to go.|sd sd
