A|Okay, so, uh, do you own a P C?|fo_o_fw_"_by_bc qy
A|Okay. Yeah.|b b
B|Um, so I think it's extremely helpful and very useful.|sd
A|Well, uh, for us it's, uh, uh, you know, it's like for doing like, you know, like resumes, and, presentations.|sd
B|Uh-huh. Um, um. Uh-huh.|b b
A|We use like for example, a Mackintosh, which is a lot easier for graphics, than the than you know, the I B M P C's or anything compatible with that.|sd
B|Yeah. Right.|b b
A|Due, due to the fact that, well, you know, I, I haven't tested the, the P S two yet.|sd
B|Um, um. Uh-huh.|b
A|but I don't know if the software is as easily, you know, like you can manage it a lot easier than, than the old one.|sd
B|Right.|b
A|The old one you had to go pick a line, use little arrows to go onto the screen and check where you wanted to start, and where, you know, with the mouse you do it, you know, like, a hundred times faster.|sd
B|Right. That's true. That's true.|b aa aa
A|And, uh, you also get, you know, when you see it on the Mackintosh with, you know, the one I have, that doesn't have any color, you can look at it and that's the way it's going to print out.|sd sd sd sd sd
B|Uh-huh.|b
A|And, especially if you have a laser printer, it's going to print out the same way as it's on the screen.|sd
B|Oh, Uh-huh.|b
A|And, so, with, you know, with the I B M what would happen is, uh, since the software that I had was, it was basically, you know, you only see part of the page.|sd
B|Uh-huh.|b
A|And, so, the whole page you, you never can actually see it,|sd
B|Oh.|b
A|you just draw it and they have to zoom out and zoom in and, you know, it's like, every time that you have to do something is, it's really a pain.|sd sd sd
B|What a hassle, yeah, yeah.|ba b b
A|And, also, you know, it's like for, for presentations, it's like if you have to do any statistical data it can be easily represented on a, on a P C.|sd sd
B|Uh-huh.|b
A|it can be easily represented on a, on a P C. You know, like years back when you didn't have that you would have to map out all this, all these numbers.|sd sd
B|Yeah.|b
A|and get a graph which you weren't sure if it was okay or not, you know.|sd
B|Right. Yeah.|b b
A|But, with a, with a new system I can calculate everything so fast, you know, like for spread sheets.|sd
B|Uh-huh. Right. Right.|b b b
A|You can see what the trend is over the years.|sv
B|Yeah. And, I love all the windows that they have out now too,|b sd
A|Yeah, that, that|b %
B|they have really simplified things.|sv
A|I, I had a, I had a program due and uh, one, one window I had the program and the other one I had the program running. so if there was ever a mistake, I could easily check, you know,|sd sd sd
B|Right. Right.|b b
A|I could look at the program and say, this is where I made the error.|sd
B|Right.|b
A|Instead of saying, where did I make the error?|sd
B|Uh-huh.|b
A|You know, go back and forth and, and, you know, you always, you know, the old ones you had to go out of your program, load up, um, uh, well load up the program again, in this case.|sd sd sd
B|Uh-huh.|b
A|After you load it up change it, hope that's right, get out of that, run the program, run, uh-huh, as long as it took, and then go back and see if that worked or not.|sd
B|Yes. Yes. Yeah.|b b b
A|But with windows you can have the program and say it messed up in line fifty-four.|sd sd
B|Yeah.|b
A|So, you take a look at line fifty-four, you take a look at the output at the same time, and you can see that, where it messed up, because, you know it's like in the old computers, the ones that, uh, we're using here a couple of years ago, you would always have to have a printout,|sd sd sd
B|Uh-huh. Yeah. Yeah, right, right. Yeah, I know, I, uh, I remember my college days And having to do that too.|b b aa aa aa % sd
A|did, did you learn it in computer science?|qy
B|Oh, yeah, uh-huh. I sure did.|ny ny sd
A|And, when was this.|qw
B|Uh, I graduated in eighty-six.|sd
A|Oh, okay.|bk
B|Yeah. So it's been fairly recent.|b sd
A|Yeah, I know because, uh, all I know is that when I came here in eighty-seven, they still had, uh, it was the last year to, to put all your punch cards in.|b sd
B|The cards. Oh, oh dear. I didn't have to bother with that at all, thank goodness. Yeah.|^2 ba sd %
A|So, yeah. No, but it, it was just sensational because I walked in and they go, Oh, my God, they're still using this.|b fo_o_fw_"_by_bc sd sd
B|Yes.|b
A|It was like, this is the last year you can put your punch cards in and get your program out and, you know You can get a hard copy of it,|sd sd
B|Wow, wow.|ba ba
A|and that's about it.|sd
B|Uh-huh, wow.|b ba
A|So. But, I mean, the price of computers has gone down. They said that, um, if the auto industry would have kept the same trend as the computer industry has ever since, you know, it started, they said that, uh, cars would cost two dollars|sd sd
B|Uh-huh.|b
A|and they would run forever.|sd
B|Oh, that would be great.|sv
A|So, I mean it's like, you know, the, the joke with the Yugo, you know, it's like, yeah, you know, like when your, uh, car runs out of gas just throw it away.|sd sd
B|Uh-huh.|b
A|And, that, that's the way it would be.|sv
B|Wow.|ba
A|It's like yeah, I think I'll buy a new car today, you know, so, Yeah, but I mean the price has really gone down. I mean, I B M which, uh, an I B M P C in like in nineteen eighty-one it would cost you five thousand dollars,|sd % b sd sd sd
B|Oh, sure, oh, sure.|aa aa
A|and now you can get it, you know, like for, one thousand dollars, because, you know, because of the parts basically.|sd
B|Right. Yeah, and the two eighty-six too, so, yeah.|aa aa sd %
A|Yeah. The parts and the labor is what they're charging you, they're not charging you, you know, over pricing, it because it's like, if we sell it for less, you know, it's like we're losing money, you know.|aa sd sd
B|Uh-huh. Right.|b b
A|It's like we want to sell it to break even at least.|sd
B|Uh-huh.|b
A|And, I think they stopped producing the I B M P C.|sd
B|Uh-huh.|b
A|And, uh, and the, uh, P C Junior was a total failure, to them.|sd
B|Oh. Yeah.|b b
A|They had, uh, they're trying to get out small computers, but, the only problem was that when they took that one out, the small computer was the I B M P C And, so, you couldn't, you know, it's like, sure bring out. into the market something that's smaller when nobody uses anything that's smaller than, you know, this, you know.|sd sd sd sd sd
B|Yeah.|b
A|And, so.|%
B|Oh. Uh-huh.|b
A|But, over the past years it's like I B M has been producing like every two years they bring out a whole new system. You know, like the P C X T, A T, and the P S one, P S two things, you know, and so. It's just that you have to always compete and, uh, Mackintosh took a lot of the market from a lot of schools.|sd sd sv sd
B|Yeah.|b
A|Because of, of their, you know, you can work with it a lot easier.|sd sv
B|Yeah. That's true.|aa aa
A|So, that's what they're trying to do. Oh, well, I'll leave you back to your work.|sd ad
B|Well. Okay.|% aa
A|And, uh, have a good lunch.|sv
B|Thanks. Bye.|ft fc
A|All right, bye, bye.|fc fc
